Program Time [s],data 0,data 1
1092.64,1,0
1092.64,0,0
1092.64,0,1
1092.65,3,3
1092.65,3,3
1092.65,1,1
1092.65,0,-1
1092.65,0,1
1092.66,4,7
1092.66,5,3
1092.66,0,0
1092.66,2,2
1092.66,2,3
1092.67,3,0
1092.67,0,0
1092.67,1,1
1092.67,1,1
1092.67,0,0
1092.67,0,0
1092.67,0,0
1092.68,2,3
1092.68,3,2
1092.68,2,1
1092.68,1,1
1092.69,1,1
1092.69,3,3
1092.69,2,2
1092.69,4,4
1092.69,3,3
1092.69,3,3
1092.69,0,0
1092.7,0,0
1092.7,0,0
1092.7,1,2
1092.7,3,2
1092.7,2,1
1092.71,1,0
1092.71,0,1
1092.71,1,1
1092.71,1,2
1092.71,2,2
1092.71,2,2
1092.71,3,2
1092.72,2,2
1092.72,2,1
1092.72,1,0
1092.72,0,0
1092.72,1,2
1092.73,2,2
1092.73,2,2
1092.73,1,2
1092.73,2,2
1092.73,2,1
1092.73,1,2
1092.73,2,3
1092.74,2,1
1092.74,1,1
1092.74,1,1
1092.74,2,2
1092.74,2,1
1092.75,1,1
1092.75,2,2
1092.75,2,2
1092.75,2,2
1092.76,2,2
1092.76,1,1
1092.76,1,0
1092.76,2,1
1092.76,2,1
1092.76,0,0
1092.76,0,1
1092.77,2,2
1092.77,2,2
1092.77,2,2
1092.77,1,2
1092.77,4,4
1092.78,3,1
1092.78,0,-1
1092.78,0,0
1092.78,2,4
1092.78,3,2
1092.78,0,0
1092.78,0,1
1092.79,5,4
1092.79,2,1
1092.79,0,0
1092.79,0,1
1092.79,2,3
1092.8,2,1
1092.8,1,0
1092.8,0,1
1092.8,4,3
1092.8,2,0
1092.8,0,0
1092.8,1,0
1092.81,0,1
1092.81,2,3
1092.81,2,3
1092.81,3,2
1092.81,1,0
1092.82,0,2
1092.82,2,2
1092.82,1,1
1092.82,3,3
1092.83,1,0
1092.83,-1,-1
1092.83,0,0
1092.83,1,3
1092.83,4,4
1092.83,4,3
1092.83,3,4
1092.84,3,2
1092.84,0,0
1092.84,0,0
1092.84,-1,0
1092.84,0,0
1092.85,0,1
1092.85,2,3
1092.85,3,4
1092.85,3,2
1092.85,1,1
1092.85,2,2
1092.85,3,2
1092.86,2,2
1092.86,2,2
1092.86,1,1
1092.86,0,0
1092.86,0,0
1092.87,1,2
1092.87,1,0
1092.87,0,2
1092.87,3,2
1092.87,1,1
1092.87,2,5
1092.87,6,5
1092.88,3,0
1092.88,-1,-2
1092.88,0,0
1092.88,1,1
1092.89,0,2
1092.89,3,2
1092.89,0,0
1092.89,1,1
1092.89,0,1
1092.89,2,2
1092.89,2,1
1092.9,0,1
1092.9,2,3
1092.9,4,2
1092.9,1,0
1092.9,1,1
1092.91,1,0
1092.91,0,0
1092.91,1,1
1092.91,1,3
1092.91,5,4
1092.92,3,3
1092.92,3,3
1092.92,1,0
1092.92,0,0
1092.92,0,1
1092.92,1,1
1092.92,1,1
1092.93,0,0
1092.93,1,0
1092.93,1,1
1092.93,2,3
1092.93,3,3
1092.94,2,1
1092.94,1,1
1092.94,1,1
1092.94,1,1
1092.94,0,1
1092.94,1,1
1092.94,1,1
1092.95,2,2
1092.95,2,2
1092.95,2,2
1092.95,2,2
1092.96,2,2
1092.96,1,1
1092.96,2,2
1092.96,3,2
1092.96,1,1
1092.96,1,0
1092.96,0,1
1092.97,1,2
1092.97,2,2
1092.97,2,2
1092.97,2,2
1092.97,2,1
1092.98,1,2
1092.98,1,1
1092.98,1,1
1092.98,2,2
1092.98,2,1
1092.98,1,1
1092.98,1,0
1092.99,0,1
1092.99,0,0
1092.99,1,1
1092.99,1,2
1092.99,2,2
1093,2,2
1093,2,2
1093,2,2
