Program Time [s],data 0,data 1
170.488,2,2
170.492,2,2
170.492,2,2
170.496,2,2
170.496,1,1
170.496,1,0
170.5,0,1
170.5,1,0
170.504,1,0
170.504,0,0
170.508,2,2
170.509,3,3
170.509,3,3
170.513,1,0
170.513,1,1
170.517,1,1
170.517,2,2
170.517,2,1
170.521,0,0
170.521,0,0
170.525,1,2
170.525,2,2
170.529,2,2
170.529,2,2
170.529,2,2
170.533,2,1
170.533,1,1
170.537,1,1
170.537,1,1
170.541,0,1
170.541,2,2
170.541,1,2
170.545,3,3
170.545,3,2
170.549,2,1
170.549,1,1
170.554,0,0
170.554,0,1
170.554,1,1
170.558,0,1
170.558,1,2
170.562,2,2
170.562,2,3
170.566,3,2
170.566,1,1
170.566,1,1
170.57,1,0
170.57,0,1
170.574,3,2
170.574,1,0
170.578,0,0
170.578,0,0
170.578,1,2
170.582,3,3
170.582,3,3
170.586,3,2
170.586,1,1
170.59,0,0
170.59,1,1
170.59,1,1
170.594,2,2
170.594,3,2
170.599,1,0
170.599,0,0
170.599,0,1
170.603,2,3
170.603,4,4
170.607,4,2
170.607,0,-1
170.611,-2,0
170.611,0,2
170.611,3,3
170.615,3,2
170.615,1,1
170.619,2,1
170.619,0,0
170.623,0,2
170.623,4,5
170.623,4,2
170.627,0,-1
170.627,0,0
170.631,0,2
170.631,3,3
170.635,3,2
170.635,2,3
170.635,2,1
170.64,0,0
170.64,0,1
170.644,2,2
170.644,1,2
170.648,3,3
170.648,2,1
170.648,1,1
170.652,0,0
170.652,1,1
170.656,1,1
170.656,1,2
170.66,3,3
170.66,2,1
170.66,1,2
170.664,2,2
170.664,2,1
170.668,1,2
170.668,2,2
170.672,2,0
170.672,0,0
170.672,1,1
170.676,1,1
170.676,1,2
170.681,2,3
170.681,2,2
170.685,2,2
170.685,2,2
170.685,2,2
170.689,2,2
170.689,1,1
170.693,0,0
170.693,0,1
170.693,2,3
170.697,2,1
170.697,1,1
170.701,1,1
170.701,1,1
170.705,1,1
170.705,0,1
170.705,0,1
170.709,3,4
170.709,2,1
170.713,0,1
170.713,3,3
170.717,2,1
170.717,0,0
170.717,0,2
170.722,3,2
170.722,1,0
170.726,0,0
170.726,2,3
170.73,3,3
170.73,2,1
170.73,0,0
170.734,0,1
170.734,2,2
170.738,1,1
170.738,0,0
170.742,1,2
170.742,2,2
170.742,3,3
170.746,3,3
170.746,2,2
170.75,2,2
170.75,1,1
170.754,2,2
170.754,2,0
170.754,-1,-1
170.758,-2,0
170.758,2,4
170.762,5,5
170.762,2,1
170.766,0,1
170.767,1,1
170.767,1,2
170.771,2,4
170.771,4,3
170.775,1,0
170.775,-1,0
170.779,0,1
170.779,2,2
170.779,1,1
170.783,1,2
170.783,2,3
170.787,4,2
170.787,1,1
170.787,0,1
170.791,2,2
170.791,1,1
170.795,0,0
170.795,0,1
170.799,1,1
170.799,1,1
170.799,2,2
170.803,2,2
170.803,1,2
170.807,2,3
170.807,2,1
170.812,0,1
170.812,2,2
170.812,2,1
170.816,1,1
170.816,1,2
170.82,2,1
170.82,1,0
170.824,0,0
170.824,0,1
170.824,1,2
170.828,4,4
170.828,2,2
170.832,1,1
170.832,1,0
170.836,0,1
170.836,1,1
170.836,2,2
170.84,2,1
170.84,1,2
170.844,2,2
170.844,2,3
170.848,2,2
170.848,2,2
170.848,1,0
170.853,-1,0
170.853,2,4
170.857,3,1
170.857,-1,-1
170.861,1,3
170.861,3,3
170.861,2,2
170.865,2,2
170.865,2,2
170.869,1,1
170.869,1,2
170.873,1,1
170.873,1,2
170.873,2,1
170.877,1,1
170.877,1,2
170.881,3,3
170.881,2,0
170.885,0,1
170.885,3,3
170.885,2,1
170.889,1,1
170.889,2,2
170.894,3,1
170.894,1,0
170.894,0,0
170.898,0,2
170.898,5,6
170.902,5,2
170.902,0,0
170.906,1,3
170.906,4,2
170.906,0,0
170.91,0,-3
170.91,-3,-2
170.914,1,5
170.914,6,5
170.918,4,2
170.918,1,0
170.918,0,0
170.922,2,3
170.922,2,3
170.926,4,3
170.926,2,2
170.93,2,1
170.93,1,1
170.93,1,1
170.934,0,0
170.934,0,0
170.939,0,1
170.939,2,2
170.943,2,1
170.943,1,1
170.943,2,4
170.947,4,4
170.947,2,0
170.951,0,0
170.951,0,0
170.955,0,1
170.955,1,1
170.955,2,2
170.959,2,2
170.959,2,2
170.963,2,3
170.963,2,2
170.967,2,1
170.967,1,1
170.967,1,1
170.971,1,1
170.971,1,0
170.975,1,0
170.975,0,0
170.975,1,2
170.979,2,3
170.98,3,3
170.984,2,2
170.984,2,1
170.988,1,1
170.988,1,0
170.988,0,0
170.992,2,4
170.992,3,2
170.996,0,0
170.996,0,1
171,1,1
171,2,2
171,1,1
171.004,2,2
171.004,2,2
171.008,2,2
171.008,3,2
171.012,1,0
171.012,1,1
171.012,2,2
171.016,1,0
171.016,0,0
171.02,1,1
171.02,1,1
171.025,2,2
171.025,2,2
171.025,2,2
171.029,2,2
171.029,2,2
171.033,2,1
171.033,1,0
171.037,1,1
171.037,2,2
171.037,2,1
171.041,1,1
171.041,2,2
171.045,2,2
171.045,2,2
171.049,2,1
171.049,2,2
171.049,2,2
171.053,2,1
171.053,0,0
171.057,1,1
171.057,1,1
171.061,1,1
171.061,1,1
171.061,1,2
171.065,2,2
171.065,2,2
171.07,2,2
171.07,2,1
171.07,2,2
171.074,2,2
171.074,2,1
171.078,0,0
171.078,0,0
171.082,1,2
171.082,2,2
171.082,2,2
171.086,2,2
171.086,2,2
171.09,1,1
171.09,2,4
171.094,4,2
171.094,0,0
171.094,0,0
171.098,0,2
171.098,2,1
171.102,1,0
171.102,0,1
171.106,1,2
171.106,2,2
171.106,2,2
171.111,1,1
171.111,2,2
171.115,2,2
171.115,2,2
171.119,2,1
171.119,1,1
171.119,1,1
171.123,1,1
171.123,1,1
171.127,1,1
171.127,2,2
171.131,2,2
171.131,2,2
171.131,3,2
171.135,1,0
171.135,0,1
171.139,1,1
171.139,1,2
171.143,2,2
171.143,2,1
171.143,1,2
171.147,2,2
171.147,2,2
171.152,2,1
171.152,1,1
171.152,0,1
171.156,1,0
171.156,0,1
171.16,2,2
171.16,2,2
171.164,1,1
171.164,1,2
171.164,3,3
171.168,2,1
171.168,0,0
171.172,1,1
171.172,2,2
171.176,2,2
171.176,2,1
171.176,1,2
171.18,2,2
171.18,1,1
171.184,0,0
171.184,1,1
171.188,2,3
171.188,4,3
171.188,1,1
171.192,0,0
171.192,1,1
171.197,1,2
171.197,2,1
171.201,0,0
171.201,1,3
171.201,4,3
171.205,2,0
171.205,0,0
171.209,2,4
171.209,3,2
171.213,0,0
171.213,0,1
171.213,2,3
171.217,2,1
171.217,0,0
171.221,0,0
171.221,0,2
171.225,3,3
171.225,3,2
171.225,2,2
171.229,1,1
171.229,2,2
171.233,2,2
171.233,2,1
171.233,1,0
171.238,0,0
171.238,1,1
171.242,2,2
171.242,3,3
171.246,2,2
171.246,1,0
171.246,0,0
171.25,1,2
171.25,3,2
171.254,2,2
171.254,2,2
171.258,1,0
171.258,-1,0
171.258,0,1
171.262,2,3
171.262,4,5
171.266,3,3
171.266,3,2
171.27,0,0
171.27,-1,0
171.27,1,4
171.274,4,2
171.274,0,0
171.278,1,2
171.279,1,0
171.283,-1,-1
171.283,-1,0
171.283,2,5
171.287,6,6
171.287,4,4
171.291,4,2
171.291,0,0
171.295,0,1
171.295,2,2
171.295,2,0
171.299,0,0
171.299,-1,0
171.303,2,2
171.303,1,0
171.307,1,1
171.307,2,2
171.307,2,2
171.311,2,2
171.311,3,3
171.315,3,3
171.315,2,1
171.319,1,1
171.319,1,2
171.319,2,2
171.324,1,1
171.324,2,1
171.328,1,2
171.328,3,2
171.328,2,1
171.332,1,1
171.332,1,1
171.336,0,1
171.336,1,1
171.34,1,1
171.34,1,1
171.34,2,2
171.344,1,2
171.344,2,2
171.348,2,2
171.348,2,2
171.352,2,2
171.352,3,3
171.352,2,1
171.356,0,0
171.356,0,0
