Program Time [s],data 0,data 1,data 2,data 3
410.97,4,0,2,8
410.97,3,-3,0,6
410.971,4,-3,-1,5
410.971,3,-2,-2,5
410.972,3,-1,-1,4
410.972,5,1,0,5
410.973,6,2,1,4
410.974,7,5,3,3
410.974,5,4,3,3
410.975,4,6,4,1
410.975,2,6,4,0
410.976,2,6,3,-1
410.977,1,7,4,-2
410.977,1,8,4,-3
410.978,0,6,4,-3
410.978,0,7,4,-3
410.979,-1,6,3,-3
410.979,0,6,4,-2
410.98,-1,3,3,-1
410.98,-1,3,2,0
410.981,0,3,2,0
410.982,1,3,2,1
410.982,1,3,2,1
410.983,3,2,2,2
410.983,2,1,1,2
410.984,3,2,2,5
410.984,5,4,3,6
410.985,6,3,2,5
410.986,5,3,1,3
410.986,5,3,2,4
410.987,4,1,0,3
410.987,4,1,0,3
410.988,4,1,1,4
410.988,4,2,2,5
410.989,5,1,2,4
410.99,2,-2,0,4
410.99,3,-2,0,5
410.991,5,0,1,7
410.991,5,0,0,7
410.992,6,0,0,5
410.992,6,1,0,3
410.993,6,2,0,2
410.994,5,4,1,3
410.994,5,6,4,4
410.995,6,6,5,3
410.995,4,7,6,2
410.996,4,8,5,0
410.997,1,7,3,-3
410.997,0,7,4,-3
410.998,-1,5,0,-6
410.998,-1,5,1,-6
410.999,-2,6,3,-3
410.999,0,7,6,-1
411,0,5,4,0
411.001,0,5,6,1
411.001,1,4,4,1
411.002,1,3,3,1
411.002,0,2,2,0
411.003,0,0,0,1
411.003,0,0,1,2
411.004,3,2,3,4
411.005,4,3,3,4
411.005,4,2,3,5
411.006,4,1,1,4
411.006,5,2,0,3
411.007,5,1,0,3
411.007,4,0,-3,0
411.008,5,1,-1,2
411.009,6,4,1,4
411.009,7,3,2,6
411.01,6,0,0,7
411.01,6,0,1,7
411.011,7,1,1,6
411.012,5,0,0,6
411.012,6,1,1,6
411.013,7,2,1,5
411.013,6,3,2,4
411.014,4,2,2,2
411.014,3,4,3,2
411.015,3,4,4,2
411.016,3,6,5,1
411.016,2,7,4,-2
411.017,0,6,3,-4
411.017,0,5,3,-4
411.018,-1,5,3,-4
411.018,-1,5,2,-4
411.019,-1,5,4,-2
411.02,0,5,5,-1
411.02,-1,3,3,0
411.021,0,3,3,0
411.021,0,2,3,0
411.022,0,2,4,2
411.022,1,3,2,2
411.023,2,3,1,2
411.024,3,3,3,3
411.024,3,3,2,2
411.025,4,3,3,4
411.025,5,3,3,6
411.026,7,4,3,6
411.026,6,4,2,3
411.027,5,2,0,2
411.028,4,1,0,2
411.028,4,1,0,2
411.029,4,1,0,3
411.029,4,0,0,5
411.03,3,0,0,8
411.03,6,0,0,7
411.031,5,0,0,6
411.032,5,-2,-1,6
411.032,7,0,0,5
411.033,6,2,1,6
411.033,7,5,5,6
411.034,6,6,5,4
411.034,5,6,5,3
411.035,3,6,4,1
411.036,3,8,5,0
411.036,1,6,3,-3
411.037,0,7,3,-5
411.037,-3,5,1,-6
411.038,-3,3,0,-7
411.039,-4,3,0,-7
411.039,-3,4,2,-3
411.04,0,7,5,0
411.04,2,7,6,2
411.041,3,7,6,3
411.041,2,4,6,4
411.042,2,1,3,3
411.043,1,0,2,3
411.043,2,0,1,3
411.044,3,2,2,4
411.044,4,1,0,1
411.045,1,0,-2,0
411.045,1,0,-1,0
411.046,3,2,0,3
411.047,6,4,2,4
411.047,7,4,2,4
411.048,7,5,2,4
411.048,7,4,2,5
411.049,7,3,1,5
411.049,6,0,0,5
411.05,4,0,1,9
411.051,6,0,3,10
411.051,6,0,1,7
411.052,5,-1,0,5
411.052,5,0,-1,2
411.053,4,2,1,3
411.053,5,5,4,4
411.054,5,5,4,3
411.055,3,5,5,3
411.055,2,4,4,0
411.056,1,4,2,-3
411.056,-1,5,2,-2
411.057,0,7,4,-3
411.057,0,6,3,-3
411.058,0,8,5,-3
411.059,0,7,4,-4
411.059,-2,5,1,-4
411.06,-2,4,1,-2
411.06,0,3,2,0
411.061,1,3,2,0
411.061,2,3,2,0
411.062,2,3,3,2
411.063,4,5,4,4
411.063,4,4,3,4
411.064,4,4,4,5
411.064,4,3,3,5
411.065,5,3,4,5
411.065,3,2,3,5
411.066,3,0,1,4
411.067,2,-1,0,2
411.067,2,0,-1,2
411.068,2,0,0,3
411.068,4,0,0,4
411.069,5,1,1,5
411.069,5,0,0,5
411.07,5,0,0,6
411.071,7,0,0,7
411.071,7,0,0,6
411.072,7,3,2,7
411.072,8,3,2,6
411.073,7,4,3,4
411.073,6,5,4,2
411.074,4,5,2,1
411.075,3,4,2,0
411.075,3,6,3,0
411.076,2,7,4,-1
411.076,0,6,3,-3
411.077,0,5,4,-3
411.078,-2,5,4,-2
411.078,-1,6,5,-2
411.079,-1,5,4,-2
411.079,0,5,4,-1
411.08,-1,4,4,0
411.08,-1,2,3,1
411.081,0,2,3,0
411.082,0,1,2,1
411.082,2,2,2,2
411.083,2,2,1,2
411.083,2,2,1,3
411.084,4,2,2,3
411.084,4,2,2,4
411.085,5,2,2,4
411.086,4,2,1,3
411.086,4,1,0,2
411.087,5,2,1,4
411.087,7,3,1,4
411.088,5,1,0,2
411.088,5,2,0,3
411.089,6,2,0,4
411.09,4,0,0,5
411.09,6,0,0,6
411.091,7,2,2,7
411.091,6,1,1,7
411.092,7,1,1,6
411.092,5,2,1,4
411.093,6,3,3,4
411.094,5,4,3,2
411.094,3,3,2,1
411.095,1,2,2,0
411.095,2,5,3,0
411.096,1,7,5,-1
411.096,1,8,6,-1
411.097,0,8,6,-2
411.098,0,7,4,-4
411.098,-2,5,2,-4
411.099,-2,4,2,-4
411.099,-2,4,2,-3
411.1,-2,3,2,0
411.1,0,5,3,1
411.101,2,5,6,3
411.102,1,3,6,5
411.102,2,2,4,4
411.103,2,2,5,5
411.103,3,1,2,3
411.104,1,0,0,2
411.105,1,0,-1,1
411.105,3,1,0,2
411.106,5,2,0,3
411.106,5,2,0,3
411.107,5,1,0,2
411.107,5,2,0,3
411.108,6,3,1,5
411.109,7,4,2,6
411.109,6,2,1,7
411.11,6,0,0,6
411.11,5,-1,0,6
411.111,5,-1,0,6
411.111,6,0,0,7
411.112,7,2,2,6
411.113,7,3,2,4
411.113,6,4,3,2
411.114,4,6,5,2
411.114,3,6,5,1
411.115,1,4,3,0
411.115,1,4,3,-1
411.116,0,4,1,-3
411.117,0,5,1,-5
411.117,0,5,1,-5
411.118,0,7,3,-3
411.118,0,7,1,-4
411.119,0,7,4,-2
411.12,0,7,5,0
411.12,0,5,6,2
411.121,1,3,3,0
411.121,2,4,2,0
411.122,1,2,3,1
411.122,2,3,3,2
411.123,1,2,4,3
411.124,2,4,9,9
411.124,4,3,6,8
411.125,4,1,2,3
411.125,2,-1,-2,0
411.126,1,-1,-2,0
411.126,2,0,-2,2
411.127,5,2,0,2
411.128,5,2,1,4
411.128,7,4,3,7
411.129,8,3,3,9
411.129,7,0,2,8
411.13,6,-1,0,8
411.13,5,-1,1,8
411.131,4,-2,-1,4
411.132,2,-4,-4,0
411.132,2,-1,-2,1
411.133,3,2,0,2
411.133,6,7,3,2
411.134,6,9,5,3
411.134,5,8,5,2
411.135,5,9,6,1
411.136,4,9,5,0
411.136,3,9,7,0
411.137,1,9,7,-1
411.137,-1,6,4,-3
411.138,0,6,3,-4
411.138,-3,3,2,-4
411.139,-3,2,1,-3
411.14,-2,2,1,-2
411.14,-1,2,2,0
411.141,0,3,3,1
411.141,1,3,3,1
411.142,2,2,3,2
411.142,2,3,3,3
411.143,3,3,3,4
411.144,4,3,2,3
411.144,3,2,1,3
411.145,3,2,2,4
411.145,4,1,2,4
411.146,5,2,0,3
411.146,4,0,0,3
411.147,5,2,0,3
411.148,6,3,0,4
411.148,6,3,0,3
411.149,5,1,0,3
411.149,4,-1,-1,5
411.15,6,0,2,8
411.15,7,1,1,7
411.151,5,0,1,7
411.152,6,2,3,7
411.152,6,2,2,6
411.153,5,1,1,3
411.153,3,3,2,2
411.154,3,4,3,1
411.155,2,2,1,0
411.155,2,4,2,0
411.156,2,6,4,-1
411.156,1,8,5,-2
411.157,0,9,6,-2
411.157,-1,8,7,-1
411.158,0,6,6,-2
411.159,-2,4,3,-3
