Program Time [s],data 0,data 1,data 2,data 3
387.67,3,0,-1,2
387.67,3,0,-1,3
387.671,5,1,0,4
387.672,6,2,0,3
387.672,5,2,1,4
387.673,4,-1,0,4
387.673,3,-2,0,6
387.674,5,-1,0,7
387.674,7,0,2,10
387.675,8,0,1,8
387.676,8,2,2,7
387.676,8,3,2,5
387.677,7,5,2,2
387.677,4,4,3,1
387.678,4,5,2,0
387.678,2,5,2,0
387.679,2,8,5,-1
387.68,0,8,8,0
387.68,0,9,7,-2
387.681,-2,6,4,-5
387.681,-3,6,2,-7
387.682,-4,4,3,-5
387.683,-4,4,1,-6
387.683,-3,4,3,-2
387.684,-1,2,3,0
387.684,0,3,1,0
387.685,1,4,2,1
387.685,2,4,3,2
387.686,3,4,4,3
387.687,4,4,4,4
387.687,5,4,4,6
387.688,5,2,1,4
387.688,4,0,0,2
387.689,4,1,1,4
387.689,6,2,1,5
387.69,6,1,0,4
387.691,5,1,1,6
387.691,6,0,2,5
387.692,6,2,3,7
387.692,5,0,1,6
387.693,2,-3,-1,5
387.693,3,-5,-2,4
387.694,3,-3,-2,5
387.695,4,-3,-3,5
387.695,6,0,-1,7
387.696,10,5,4,9
387.696,11,6,3,5
387.697,8,7,3,3
387.697,5,4,1,0
387.698,4,5,1,0
387.699,3,7,3,0
387.699,4,10,5,0
387.7,2,9,7,-2
387.7,1,11,9,-2
387.701,-1,8,7,-4
387.701,-3,5,5,-5
387.702,-5,5,5,-4
387.703,-5,3,4,-4
387.703,-6,0,0,-5
387.704,-4,0,-2,-3
387.704,0,1,-1,-2
387.705,1,4,1,1
387.705,4,5,3,3
387.706,7,5,3,5
387.707,7,4,2,5
387.707,8,4,3,5
387.708,7,5,4,5
387.708,4,2,3,4
387.709,2,1,2,3
387.709,3,1,1,3
387.71,3,0,0,3
387.711,3,0,0,2
387.711,3,0,0,3
387.712,4,1,1,6
387.712,6,2,2,7
387.713,7,0,0,7
387.713,7,0,0,8
387.714,7,0,0,7
387.715,7,-1,0,8
387.715,9,3,3,9
387.716,8,5,5,8
387.716,7,4,5,6
387.717,4,2,1,0
387.717,0,0,-2,-3
387.718,-1,0,-2,-4
387.719,0,5,1,-4
387.719,0,8,4,-1
387.72,2,11,8,0
387.72,2,12,10,0
387.721,1,9,6,-3
387.721,-1,8,4,-5
387.722,-2,5,2,-6
387.723,-3,4,2,-4
387.723,-3,3,2,-2
387.724,-1,4,4,0
387.724,0,3,3,0
387.725,0,1,2,1
387.725,0,2,2,2
387.726,3,2,2,3
387.727,4,3,2,4
387.727,5,2,1,3
387.728,4,3,2,4
387.728,5,2,2,6
387.729,6,3,4,7
387.73,6,2,4,8
387.73,5,0,0,4
387.731,3,-1,-2,2
387.731,2,-2,-2,3
387.732,4,0,-1,4
387.732,5,-2,-2,4
387.733,5,-1,0,7
387.734,9,3,4,10
387.734,10,4,5,9
387.735,6,0,0,7
387.735,7,0,0,4
387.736,6,1,0,3
387.736,4,3,1,2
387.737,3,4,2,1
387.738,3,4,3,1
387.738,2,4,1,-1
387.739,2,6,1,-3
387.739,2,8,4,-3
387.74,2,11,7,0
387.741,2,12,9,-1
387.741,1,11,7,-3
387.742,-1,7,3,-6
387.742,-4,3,0,-8
387.743,-5,3,1,-5
387.743,-3,3,2,-2
387.744,-1,3,3,1
387.745,1,5,5,2
387.745,1,3,3,2
387.746,2,3,3,3
387.746,3,2,2,4
387.747,2,0,0,3
387.747,4,1,1,3
387.748,4,2,0,4
387.749,6,2,0,4
387.749,5,2,1,5
387.75,5,2,3,6
387.75,7,3,2,6
387.751,7,3,2,6
387.751,5,1,0,4
387.752,5,0,-3,2
387.753,3,-3,-3,3
387.753,3,-3,-2,7
387.754,6,0,0,8
387.754,7,0,2,8
387.755,7,0,1,7
387.755,7,2,2,6
387.756,7,3,2,5
387.757,7,5,3,3
387.757,4,5,3,2
387.758,2,5,3,0
387.758,1,6,3,-1
387.759,0,6,3,-3
387.759,0,8,5,-3
387.76,0,9,6,-3
387.761,-1,8,7,-3
387.761,-1,8,6,-3
387.762,-1,7,4,-5
387.762,-3,5,3,-4
387.763,-3,3,2,-3
387.763,-3,2,1,-2
387.764,-1,1,0,0
387.765,1,2,1,0
387.765,3,4,3,3
387.766,3,4,5,4
387.766,4,4,4,4
387.767,4,2,3,4
387.767,4,1,0,2
387.768,3,0,0,4
387.769,5,1,1,6
387.769,7,2,3,7
387.77,8,3,3,8
387.77,7,1,1,6
387.771,5,0,0,3
387.772,3,-1,-1,2
387.772,2,-1,-1,2
387.773,3,-2,-2,5
387.773,6,0,0,8
387.774,8,3,3,8
387.774,7,1,0,6
387.775,6,0,-1,4
387.776,6,1,0,4
387.776,6,2,1,4
387.777,8,6,3,4
387.777,6,6,3,1
387.778,4,6,4,1
387.778,3,8,7,2
387.779,2,9,7,0
387.78,1,9,6,-3
387.78,-1,7,5,-5
387.781,-3,5,4,-5
387.781,-3,5,3,-6
387.782,-3,5,1,-6
387.782,-4,4,2,-5
387.783,-3,4,3,-2
387.784,-2,4,4,0
387.784,0,3,3,1
387.785,1,2,3,1
387.785,1,3,2,2
387.786,3,4,3,3
387.786,5,4,2,3
387.787,5,3,3,6
387.788,6,2,1,5
387.788,7,2,1,6
387.789,6,1,2,6
387.789,6,1,0,4
387.79,5,0,-1,2
387.79,3,0,-1,2
387.791,4,0,0,3
387.792,4,2,2,5
387.792,5,1,2,6
387.793,4,0,0,5
387.793,5,-2,-1,7
387.794,6,0,0,7
387.795,6,0,1,8
387.795,8,1,1,6
387.796,7,1,-1,4
387.796,7,4,2,5
387.797,8,7,5,4
387.797,5,6,5,3
387.798,4,6,5,2
387.799,3,6,3,-2
387.799,0,5,1,-5
387.8,-1,6,3,-6
387.8,-1,7,4,-5
387.801,-2,8,4,-5
387.801,-2,7,3,-4
387.802,-1,7,3,-3
387.803,0,8,6,-1
387.803,0,5,4,0
387.804,-1,2,2,0
387.804,-1,1,2,0
387.805,1,1,1,0
387.805,1,1,1,2
387.806,2,3,2,3
387.807,3,2,1,4
387.807,6,4,3,5
387.808,6,5,5,6
387.808,6,4,6,7
387.809,5,0,3,5
387.809,4,0,0,3
387.81,2,0,-1,3
387.811,3,-1,0,5
387.811,5,0,0,4
387.812,5,0,-1,3
387.812,3,-1,-1,4
387.813,4,-1,0,8
387.813,7,0,1,9
387.814,8,0,1,8
387.815,6,-2,-2,6
387.815,8,2,1,6
387.816,9,4,2,5
387.816,9,9,5,4
387.817,6,5,2,1
387.818,2,5,3,0
387.818,2,5,5,1
387.819,2,7,6,0
387.819,0,7,6,-2
387.82,-2,7,5,-4
387.82,-3,5,3,-6
387.821,-2,7,3,-6
387.822,-2,7,3,-6
387.822,-2,5,0,-8
387.823,-4,2,-1,-8
387.823,-3,4,1,-2
387.824,0,7,7,3
387.824,4,7,7,5
387.825,4,6,6,4
387.826,4,5,5,5
387.826,4,4,5,6
387.827,4,2,3,4
387.827,3,1,2,4
387.828,3,0,0,2
387.828,1,0,0,3
387.829,2,-1,-1,2
387.83,4,0,-1,3
387.83,4,0,-1,3
387.831,5,1,0,5
387.831,7,3,1,6
387.832,7,3,2,7
387.832,6,0,0,6
387.833,6,-1,0,7
387.833,6,-1,0,7
387.834,7,1,1,9
387.835,9,2,2,7
387.835,7,1,1,4
387.836,5,1,0,2
387.836,6,4,3,2
387.837,5,6,5,3
387.838,4,7,6,2
387.838,3,6,5,0
387.839,1,6,4,-2
387.839,0,7,4,-3
387.84,-2,7,4,-4
387.84,-2,7,3,-5
387.841,-2,7,3,-5
387.842,-3,4,2,-5
387.842,-3,5,4,-2
387.843,-1,5,5,-1
387.843,-1,3,3,0
387.844,0,2,2,0
387.844,2,4,3,1
387.845,0,1,1,1
387.846,2,2,1,1
387.846,4,2,0,2
387.847,5,3,2,4
387.847,7,5,3,6
387.848,8,6,6,8
387.849,6,4,5,7
387.849,5,0,3,7
387.85,3,-1,0,3
387.85,2,-2,-2,2
387.851,3,-1,-1,4
387.851,4,0,-1,4
387.852,5,0,-1,3
387.852,4,-2,-1,6
387.853,7,-1,0,8
387.854,8,0,1,8
387.854,7,0,0,7
387.855,7,1,0,5
387.855,7,2,0,4
387.856,7,5,5,6
387.856,7,8,6,4
387.857,5,7,4,2
387.858,2,3,1,-1
387.858,1,6,4,0
387.859,1,7,5,-3
387.859,0,7,5,-3
387.86,-1,7,4,-5
387.86,-2,8,4,-4
387.861,-1,7,5,-4
387.862,-2,5,3,-5
387.862,-3,5,3,-4
387.863,-1,5,3,-1
387.863,0,5,3,0
387.864,1,4,3,1
387.865,1,5,4,2
387.865,1,2,2,2
387.866,2,1,2,2
387.866,3,2,2,5
387.867,5,3,2,5
387.867,4,2,1,4
387.868,3,1,2,5
387.869,5,2,2,5
387.869,5,2,3,6
387.87,6,2,1,6
387.87,5,0,-2,1
387.871,2,-2,-4,1
387.871,3,0,-1,4
387.872,5,0,1,7
387.873,6,0,0,8
387.873,7,0,0,8
387.874,7,0,0,9
387.874,7,0,0,8
387.875,9,2,2,8
387.875,8,3,1,5
387.876,6,3,3,3
387.877,5,5,3,3
387.877,4,4,1,1
387.878,3,4,2,0
387.878,3,6,3,0
387.879,2,7,3,-4
387.879,0,8,3,-6
387.88,-2,7,2,-7
387.881,-2,8,3,-7
387.881,-3,7,3,-6
387.882,-2,7,5,-4
387.882,0,9,8,0
387.883,0,5,6,1
387.883,0,4,4,0
387.884,0,2,2,1
387.885,0,2,3,2
387.885,3,4,5,5
387.886,4,3,4,4
387.886,4,5,6,3
387.887,2,2,3,3
387.888,1,0,0,2
387.888,1,0,0,3
387.889,2,0,0,3
387.889,4,0,-1,3
387.89,4,0,-1,4
387.89,6,1,1,6
387.891,6,2,2,7
387.892,7,3,2,7
387.892,6,0,0,6
387.893,5,-1,-1,6
387.893,6,-1,-1,6
387.894,8,0,1,8
387.894,8,0,1,7
387.895,7,2,2,6
387.896,6,3,2,5
387.896,6,4,3,4
387.897,4,4,3,0
387.897,2,3,1,0
387.898,1,4,1,-1
387.898,1,7,4,-1
387.899,1,8,5,-1
387.9,1,10,7,-1
387.9,0,9,6,-4
387.901,-1,7,4,-5
387.901,-3,5,3,-5
387.902,-3,4,2,-5
387.902,-3,4,2,-4
387.903,-2,2,0,-3
387.904,-1,3,1,0
387.904,2,5,4,2
387.905,2,5,4,2
387.905,3,4,2,2
387.906,5,4,2,3
387.906,5,5,3,5
387.907,5,4,4,5
387.908,5,2,1,4
387.908,4,1,0,5
387.909,4,0,2,6
387.909,5,1,2,5
387.91,4,0,0,4
387.91,3,-1,-1,3
387.911,4,0,-1,2
387.912,4,0,0,6
387.912,5,0,0,7
387.913,6,-1,0,8
387.913,7,-1,0,7
387.914,6,0,1,9
387.915,7,0,2,8
387.915,7,1,0,5
387.916,5,1,0,3
387.916,6,4,2,2
387.917,5,6,4,3
387.917,4,6,4,2
387.918,3,7,4,0
387.918,2,9,6,-1
387.919,0,9,8,-1
387.92,0,9,6,-4
387.92,-3,5,3,-6
387.921,-4,5,3,-5
387.921,-3,5,4,-4
387.922,-2,5,2,-5
387.922,-3,2,0,-4
387.923,-2,1,0,-3
387.924,0,2,1,0
387.924,2,6,4,2
387.925,4,5,3,3
387.925,4,4,3,4
387.926,4,4,4,5
387.927,6,5,4,6
387.927,5,2,3,5
387.928,4,1,2,4
387.928,4,0,0,4
387.929,4,0,0,4
387.929,4,0,0,4
387.93,5,0,0,4
387.931,5,1,2,7
387.931,6,2,3,8
387.932,6,1,1,6
387.932,3,-3,-1,5
387.933,4,-4,-3,5
387.933,5,-3,-3,4
387.934,4,-1,-2,6
387.935,8,2,1,7
387.935,10,6,4,8
387.936,10,7,5,6
387.936,7,5,2,2
387.937,4,5,2,0
387.938,3,5,3,1
387.938,3,7,4,-1
387.939,0,6,2,-4
387.939,0,8,4,-5
387.94,-1,8,6,-3
387.94,-1,9,6,-4
387.941,-2,8,6,-3
387.941,-3,6,5,-4
387.942,-3,4,3,-4
387.943,-2,4,3,-3
387.943,-1,2,2,0
387.944,0,1,1,0
387.944,0,2,1,0
387.945,2,4,3,2
387.945,3,4,4,4
387.946,3,3,2,3
387.947,3,2,1,4
387.947,4,1,2,4
387.948,4,2,2,6
387.948,6,2,1,4
387.949,5,0,0,3
387.95,4,0,0,4
387.95,5,2,1,6
387.951,7,1,1,6
387.951,6,2,0,5
387.952,5,0,0,5
387.952,5,-1,-1,6
387.953,5,-2,-3,5
387.954,7,0,-2,4
387.954,6,0,1,8
387.955,8,3,4,9
387.955,8,3,4,7
387.956,8,4,2,3
387.956,4,3,0,0
387.957,3,4,3,0
387.958,2,5,3,0
387.958,2,8,5,0
387.959,2,9,5,-2
387.959,0,9,6,-4
387.96,-1,7,5,-4
387.96,-2,6,3,-7
387.961,-4,5,3,-6
387.962,-3,5,4,-4
387.962,-1,7,5,-2
387.963,-1,3,2,-1
387.963,-1,2,2,0
387.964,2,5,5,2
387.964,1,4,4,2
387.965,1,3,3,3
387.966,3,3,3,5
387.966,5,2,1,4
387.967,4,0,0,3
387.967,3,1,0,4
387.968,4,1,0,4
387.968,4,1,1,3
387.969,4,0,0,3
387.97,4,1,0,3
387.97,5,2,2,5
387.971,6,3,3,5
387.971,6,1,0,4
387.972,3,-1,-1,4
387.973,4,-1,0,8
387.973,7,0,1,8
387.974,8,0,2,9
387.974,8,1,1,8
387.975,8,2,2,7
387.975,6,3,0,4
387.976,6,5,2,3
387.977,4,4,2,0
387.977,2,4,4,0
387.978,2,5,3,0
387.978,2,6,3,-2
387.979,0,6,3,-4
387.979,0,8,4,-5
387.98,0,8,3,-4
387.981,0,8,3,-5
387.981,-1,7,5,-3
387.982,-1,7,4,-3
387.982,-2,4,3,-2
387.983,-1,3,4,0
387.983,0,4,4,1
387.984,1,4,4,2
387.985,1,3,3,1
387.985,1,3,4,3
387.986,2,3,4,4
387.986,2,1,3,5
387.987,3,0,1,3
387.987,2,1,2,5
387.988,5,1,1,5
387.989,5,0,-1,2
387.989,4,0,-2,3
387.99,4,0,0,5
387.99,7,3,2,7
387.991,7,3,1,6
387.991,7,1,0,6
387.992,5,-1,-1,5
387.993,5,-1,0,6
387.993,7,0,0,6
387.994,6,0,0,7
387.994,7,1,2,8
387.995,9,4,4,7
387.995,7,3,3,5
387.996,5,2,1,2
387.997,3,3,0,0
387.997,2,4,1,0
387.998,3,7,4,0
387.998,2,6,1,-4
387.999,0,7,0,-7
388,-1,7,2,-7
388,0,8,5,-3
388.001,1,11,7,-2
388.001,0,11,8,0
388.002,2,9,7,-1
388.002,0,4,0,-5
388.003,-3,2,1,-2
388.004,-2,2,3,0
388.004,0,4,6,3
388.005,0,3,8,5
388.005,1,3,9,8
388.006,2,0,3,4
388.006,0,-1,-1,0
388.007,0,-3,-1,1
388.008,1,0,0,3
388.008,3,0,1,4
388.009,4,0,1,5
388.009,5,0,0,6
388.01,7,2,1,6
388.01,8,3,1,5
388.011,7,1,-2,2
388.012,5,0,-3,2
388.012,5,-1,-4,5
388.013,8,0,-2,6
388.013,8,1,1,8
388.014,8,2,2,9
388.014,10,4,4,9
388.015,9,4,4,7
388.016,8,4,2,3
388.016,5,5,2,1
388.017,3,5,3,1
388.017,3,6,5,0
388.018,2,7,7,0
388.018,0,7,5,-2
388.019,-3,5,4,-5
388.02,-4,4,2,-5
388.02,-2,6,3,-5
388.021,-2,5,2,-5
388.021,-2,5,3,-4
388.022,-2,6,5,-2
388.022,-1,4,4,0
388.023,0,3,4,1
388.024,1,4,2,0
388.024,0,2,2,0
388.025,0,3,3,3
388.025,3,4,4,4
388.026,4,5,4,4
388.026,4,2,2,3
388.027,3,1,1,3
388.028,3,0,1,4
388.028,4,1,2,7
388.029,6,3,3,7
388.029,6,1,2,6
388.03,4,0,1,5
388.03,4,0,0,4
388.031,5,0,0,4
388.032,3,-2,-2,3
388.032,3,-4,-3,4
388.033,5,-2,-4,4
388.033,7,0,-1,5
388.034,8,2,1,9
388.035,10,5,7,12
388.035,11,7,7,9
388.036,9,6,4,5
388.036,4,3,2,1
388.037,1,2,0,0
388.037,1,2,0,-2
388.038,0,6,3,-1
388.039,1,7,3,-3
388.039,0,8,4,-5
388.04,0,8,4,-5
388.04,-1,9,4,-6
388.041,-2,7,5,-4
388.041,-1,8,7,-1
388.042,0,6,5,-2
388.043,-1,2,2,-1
388.043,-1,2,2,0
388.044,1,2,0,0
388.044,0,1,0,0
388.045,2,3,1,2
388.045,4,4,3,3
388.046,4,2,1,3
388.047,5,3,0,2
388.047,4,4,3,5
388.048,6,5,7,8
388.048,6,0,1,5
388.049,3,0,-2,3
388.05,4,0,0,5
388.05,6,3,5,7
388.051,5,2,5,7
388.051,5,1,3,6
388.052,1,-3,0,5
388.052,1,-6,-4,5
388.053,3,-5,-2,6
388.053,6,-2,-2,7
388.054,6,0,0,6
388.055,8,3,2,6
388.055,7,5,4,6
388.056,6,5,3,2
388.056,4,4,2,1
388.057,4,5,3,2
388.058,4,6,4,1
388.058,5,8,4,0
388.059,2,8,4,-2
388.059,0,7,3,-6
388.06,-3,5,1,-8
388.06,-3,6,2,-6
388.061,-2,7,5,-4
388.062,-2,7,5,-3
388.062,-1,6,4,-2
388.063,-2,3,2,-1
388.063,0,3,2,0
388.064,1,6,5,2
388.064,2,5,5,4
388.065,3,4,5,5
388.066,5,4,4,5
388.066,4,1,1,3
388.067,2,-1,-2,1
388.067,1,0,0,3
388.068,4,0,1,5
388.068,5,1,2,7
388.069,7,2,1,6
388.07,7,1,1,5
388.07,5,1,1,5
388.071,4,0,1,6
388.071,5,0,0,6
388.072,6,0,0,6
388.072,6,-2,-2,5
388.073,5,-1,-1,5
388.074,5,-1,0,7
388.074,6,0,1,7
388.075,9,4,2,5
388.075,7,4,3,5
388.076,6,5,3,3
388.076,5,5,1,0
388.077,3,5,2,0
388.078,2,6,4,0
388.078,1,8,5,-1
388.079,1,10,6,-3
388.079,-1,8,6,-4
388.08,-1,8,6,-3
388.08,0,8,5,-4
388.081,-1,6,4,-4
388.082,-3,4,2,-4
388.082,-2,3,1,-3
388.083,-2,2,1,-1
388.083,0,4,4,1
388.084,1,3,3,1
388.084,1,2,3,3
388.085,2,3,3,3
388.086,4,4,4,5
388.086,5,2,0,2
388.087,3,0,0,2
388.087,2,2,2,2
388.088,3,1,3,6
388.089,5,3,4,7
388.089,6,3,3,6
388.09,4,0,2,6
388.09,5,0,0,4
388.091,4,0,-1,4
388.091,5,0,0,6
388.092,5,-1,1,8
388.093,7,-1,0,9
388.093,8,-1,-1,5
388.094,6,0,0,8
388.094,7,1,0,5
388.095,5,2,1,4
388.095,6,3,1,2
388.096,5,4,2,2
388.096,5,5,1,0
388.097,3,4,0,-2
388.098,2,8,3,-2
388.098,3,11,9,0
388.099,3,10,6,-1
388.099,2,9,6,-2
388.1,0,8,5,-4
388.101,-4,5,3,-5
388.101,-3,5,5,-3
388.102,-1,5,3,-3
388.102,-2,1,0,-3
388.103,-1,2,0,-3
388.103,-1,1,0,0
388.104,2,4,4,2
388.105,5,6,6,5
388.105,6,6,5,4
388.106,5,5,4,4
388.106,4,4,4,4
388.107,2,1,2,3
388.107,3,1,2,4
388.108,4,2,2,5
388.109,3,0,1,4
388.109,3,-2,-3,2
388.11,3,-1,-1,3
388.11,4,0,0,5
388.111,6,0,2,8
388.112,6,-1,1,8
388.112,5,0,3,10
388.113,6,-2,0,10
388.113,7,-5,-5,6
388.114,7,0,-1,6
