Program Time [s],data 0,data 1,data 2,data 3
3955.31,2,7,3,0
3955.31,1,8,5,0
3955.31,2,10,7,-1
3955.31,-1,6,3,-4
3955.31,-2,5,6,-1
3955.31,-2,7,10,1
3955.31,-2,5,7,-1
3955.31,-3,1,2,-3
3955.31,-5,-2,-1,-3
3955.31,-4,-2,0,-1
3955.31,-1,0,2,2
3955.32,2,3,4,3
3955.32,3,5,5,5
3955.32,5,6,5,5
3955.32,5,5,5,3
3955.32,2,2,1,2
3955.32,2,1,0,1
3955.32,2,0,-3,0
3955.32,4,0,-4,0
3955.32,7,4,0,3
3955.32,8,8,3,5
3955.32,9,7,6,6
3955.32,8,6,4,5
3955.32,6,5,3,3
3955.32,4,0,0,2
3955.32,2,-4,-4,2
3955.32,2,-3,-1,4
3955.32,5,0,0,7
3955.33,6,0,1,8
3955.33,8,2,1,6
3955.33,6,2,0,3
3955.33,4,3,2,3
3955.33,4,5,4,4
3955.33,4,5,4,3
3955.33,4,5,3,0
3955.33,2,5,3,0
3955.33,1,6,4,-1
3955.33,0,9,9,0
3955.33,0,7,3,-4
3955.33,0,6,2,-5
3955.33,-1,6,2,-4
3955.33,-2,4,2,-4
3955.33,-2,4,3,-2
3955.33,-2,1,1,-1
3955.33,0,3,2,1
3955.33,2,4,5,4
3955.34,2,3,4,4
3955.34,2,1,1,3
3955.34,3,2,3,5
3955.34,6,5,7,9
3955.34,7,5,7,6
3955.34,3,2,4,3
3955.34,0,0,1,1
3955.34,0,-1,0,1
3955.34,0,0,0,1
3955.34,3,1,0,1
3955.34,4,2,0,1
3955.34,5,3,0,0
3955.34,7,5,1,4
3955.34,7,3,1,6
3955.34,7,0,1,8
3955.34,7,0,2,10
3955.34,7,0,1,8
3955.35,7,0,0,6
3955.35,7,0,-4,0
3955.35,5,0,-7,-3
3955.35,5,5,-2,-1
3955.35,7,9,4,4
3955.35,8,9,7,5
3955.35,7,11,8,4
3955.35,6,11,11,3
3955.35,1,9,10,1
3955.35,-1,7,11,1
3955.35,-3,3,6,-3
3955.35,-8,-1,0,-9
3955.35,-9,-2,-2,-8
3955.35,-7,-1,0,-5
3955.35,-4,1,0,-3
3955.35,-1,1,0,-1
3955.35,2,5,4,5
3955.35,6,7,7,7
3955.36,6,7,8,6
3955.36,4,3,5,5
3955.36,3,2,2,3
3955.36,4,2,1,2
3955.36,3,2,1,2
3955.36,3,1,1,2
3955.36,3,1,0,2
3955.36,4,2,2,4
3955.36,6,4,2,3
3955.36,6,4,2,3
3955.36,5,3,2,3
3955.36,4,3,3,4
3955.36,4,3,4,6
3955.36,2,-2,0,6
3955.36,3,-3,-1,5
3955.36,3,-2,-1,4
3955.36,3,-4,-1,4
3955.37,5,-1,-1,5
3955.37,6,0,-2,2
3955.37,6,2,0,2
3955.37,8,8,4,4
3955.37,7,9,5,3
3955.37,6,8,6,3
3955.37,6,10,7,2
3955.37,4,8,5,-1
3955.37,0,6,4,-3
3955.37,-1,7,5,-2
3955.37,-2,6,7,-2
3955.37,-2,5,6,-1
3955.37,-2,3,1,-6
3955.37,-4,1,0,-6
3955.37,-4,0,-1,-3
3955.37,-2,0,0,0
3955.37,1,2,1,2
3955.38,4,6,4,4
3955.38,6,6,4,4
3955.38,5,4,3,4
3955.38,4,3,4,6
3955.38,5,5,7,8
3955.38,5,4,5,6
3955.38,4,1,1,2
3955.38,1,0,0,0
3955.38,0,0,0,1
3955.38,2,1,0,1
3955.38,3,1,-1,1
3955.38,3,1,-1,1
3955.38,4,3,2,4
3955.38,5,1,1,4
3955.38,4,0,0,7
3955.38,6,0,1,8
3955.38,8,2,2,7
3955.39,6,-2,-7,0
3955.39,5,-1,-8,-1
3955.39,6,4,0,4
3955.39,11,11,8,9
3955.39,10,11,9,8
3955.39,7,8,7,5
3955.39,4,5,4,1
3955.39,1,5,5,0
3955.39,0,4,4,-1
3955.39,-2,4,3,-2
3955.39,0,6,3,-5
3955.39,-2,6,3,-6
3955.39,-4,5,2,-7
3955.39,-5,2,2,-5
3955.39,-3,4,4,-2
3955.39,-1,2,4,1
3955.39,1,3,4,4
3955.39,1,1,2,4
3955.4,2,1,1,4
3955.4,3,2,3,5
3955.4,5,3,3,5
3955.4,5,4,3,4
3955.4,4,2,0,2
3955.4,3,1,-1,1
3955.4,4,3,0,2
3955.4,6,6,3,6
3955.4,9,7,3,4
3955.4,6,4,2,3
3955.4,4,2,0,1
3955.4,3,2,0,1
3955.4,3,2,2,4
3955.4,4,0,-1,3
3955.4,3,-2,-2,4
3955.4,5,-2,-1,5
3955.4,6,-1,0,6
3955.41,7,0,0,7
3955.41,8,4,3,7
3955.41,8,4,4,6
3955.41,6,4,3,3
3955.41,4,3,2,1
3955.41,3,4,3,0
3955.41,2,5,2,0
3955.41,1,5,4,-1
3955.41,0,6,4,-2
3955.41,-1,5,5,-2
3955.41,-1,7,6,-1
3955.41,0,7,6,-2
3955.41,-1,5,4,-2
3955.41,-3,4,4,-1
3955.41,-2,2,4,0
3955.41,-2,0,2,0
3955.41,0,1,3,2
3955.41,1,2,4,3
3955.42,3,4,5,5
3955.42,2,2,4,5
3955.42,3,2,1,2
3955.42,3,0,-2,-1
3955.42,3,2,0,0
3955.42,4,4,1,3
3955.42,6,4,2,5
3955.42,8,5,2,5
3955.42,7,4,1,3
3955.42,6,3,0,2
3955.42,6,4,2,3
3955.42,5,3,1,3
3955.42,4,0,0,2
3955.42,1,-1,-1,5
3955.42,4,-1,0,6
3955.42,5,1,3,8
3955.42,5,-1,2,7
3955.43,5,-1,0,5
3955.43,5,0,0,4
3955.43,5,1,-1,0
3955.43,4,2,-1,0
3955.43,5,4,0,1
3955.43,6,7,3,2
3955.43,6,9,7,2
3955.43,6,11,9,2
3955.43,1,9,9,1
3955.43,0,9,9,0
3955.43,-2,4,3,-5
3955.43,-4,3,1,-7
3955.43,-5,3,1,-5
3955.43,-3,2,0,-4
3955.43,-3,0,-1,-3
3955.43,-1,2,3,1
3955.43,2,4,6,5
3955.44,4,3,3,4
3955.44,4,2,3,5
3955.44,5,4,5,6
3955.44,5,5,7,7
3955.44,5,3,4,5
3955.44,3,1,0,1
3955.44,1,1,0,0
3955.44,1,0,0,1
3955.44,2,2,0,2
3955.44,4,2,0,2
3955.44,5,3,0,2
3955.44,6,5,1,1
3955.44,5,3,0,3
3955.44,5,2,0,4
3955.44,4,-1,-1,5
3955.44,6,-1,-1,6
3955.44,7,0,0,8
3955.44,8,0,0,6
3955.45,8,3,3,8
3955.45,8,3,1,6
3955.45,7,4,2,4
3955.45,5,4,2,1
3955.45,3,3,1,0
3955.45,3,5,3,1
3955.45,3,8,6,1
3955.45,2,8,6,1
3955.45,2,10,8,0
3955.45,0,9,12,1
3955.45,-2,5,9,-1
3955.45,-5,1,3,-4
3955.45,-7,0,2,-5
3955.45,-6,0,-1,-7
3955.45,-7,-5,-9,-10
3955.45,-4,-3,-9,-8
3955.45,1,3,-1,0
3955.46,8,10,6,7
3955.46,11,10,7,8
3955.46,10,11,9,9
3955.46,11,9,6,7
3955.46,8,7,6,7
3955.46,5,4,6,6
3955.46,2,2,5,6
3955.46,2,0,3,4
3955.46,1,0,1,2
3955.46,0,-3,-2,0
3955.46,0,-2,-3,0
3955.46,0,-1,-3,0
3955.46,2,0,-1,2
3955.46,3,0,-1,4
3955.46,4,0,0,6
3955.46,6,0,0,7
3955.46,8,1,1,8
3955.46,8,1,1,7
3955.47,9,3,2,7
3955.47,8,4,2,6
3955.47,8,5,2,3
3955.47,5,6,3,2
3955.47,4,5,4,1
3955.47,2,5,5,2
3955.47,2,7,7,1
3955.47,0,6,4,-2
3955.47,-1,7,5,-2
3955.47,-2,5,4,-4
3955.47,-3,4,2,-5
3955.47,-4,3,2,-4
3955.47,-3,2,0,-5
3955.47,-1,1,-2,-5
3955.47,-1,1,0,-2
3955.47,2,5,4,3
3955.47,5,7,8,6
3955.48,5,6,9,8
3955.48,5,5,6,7
3955.48,5,4,4,5
3955.48,3,1,0,1
3955.48,2,0,-2,-1
3955.48,1,1,-2,-1
3955.48,3,3,-2,0
3955.48,5,4,-2,0
3955.48,6,5,0,2
3955.48,7,6,5,6
3955.48,7,3,2,6
3955.48,7,4,6,8
3955.48,7,4,6,8
3955.48,4,1,4,7
