Program Time [s],data 0,data 1,data 2,data 3
372.555,6,-1,0,8
372.556,8,2,2,7
372.556,8,4,3,7
372.557,8,5,5,5
372.557,6,7,6,3
372.558,3,5,4,1
372.558,1,2,2,-1
372.559,1,6,4,-1
372.559,0,7,4,-3
372.56,0,8,3,-5
372.561,-2,7,1,-8
372.561,-2,8,3,-6
372.562,-1,9,4,-5
372.562,0,9,6,-3
372.563,0,9,6,-2
372.564,-1,5,3,-2
372.564,-1,3,3,0
372.565,0,3,2,0
372.565,0,3,3,1
372.566,1,3,4,3
372.566,2,2,4,4
372.567,4,2,2,4
372.568,3,2,2,4
372.568,3,1,2,5
372.569,4,0,1,5
372.569,4,0,-1,3
372.57,4,-1,-2,2
372.57,5,0,0,5
372.571,7,3,2,7
372.572,7,2,1,6
372.572,7,2,3,8
372.573,7,0,-1,5
372.573,5,-2,-3,4
372.574,5,-3,-3,5
372.574,6,-1,-1,7
372.575,7,0,0,8
372.576,10,3,3,9
372.576,10,5,3,6
372.577,9,6,3,4
372.577,5,7,4,3
372.578,3,6,5,2
372.578,2,5,3,0
372.579,1,7,4,-3
372.58,0,7,3,-6
372.58,-2,8,4,-6
372.581,-3,7,4,-5
372.581,-2,9,5,-5
372.582,-3,7,4,-5
372.582,-4,4,2,-5
372.583,-3,4,1,-5
372.584,-2,2,2,-2
372.584,0,4,3,1
372.585,1,4,1,0
372.585,3,3,0,0
372.586,3,4,3,2
372.586,5,5,4,5
372.587,6,5,5,6
372.588,5,4,6,7
372.588,6,4,7,9
372.589,3,0,4,6
372.589,2,-1,2,6
372.59,1,-3,0,4
372.59,2,-4,-3,2
372.591,2,-2,-3,1
372.592,3,-2,-2,3
372.592,5,0,0,6
372.593,6,0,0,8
372.593,8,0,0,9
372.594,8,0,1,9
372.595,8,0,0,8
372.595,8,1,1,8
372.596,8,3,3,7
372.596,7,3,3,5
372.597,7,6,4,3
372.597,4,5,2,0
372.598,2,3,1,0
372.599,2,6,3,-1
372.599,2,8,4,-2
372.6,1,10,8,-1
372.6,0,10,7,-1
372.601,0,8,5,-3
372.602,-3,6,4,-6
372.602,-5,4,3,-7
372.603,-5,2,0,-7
372.603,-5,1,0,-7
372.604,-4,2,-1,-5
372.604,0,4,0,-3
372.605,3,7,4,2
372.605,4,7,5,4
372.606,6,7,5,5
372.607,6,6,5,5
372.607,6,6,5,6
372.608,5,3,3,6
372.608,5,1,1,4
372.609,4,0,0,4
372.61,4,0,-1,4
372.61,4,0,0,4
372.611,5,0,1,6
372.611,5,0,1,6
372.612,7,1,1,6
372.612,5,0,0,6
372.613,2,-5,-4,6
372.613,4,-4,-3,6
372.614,5,-2,-2,6
372.615,7,-1,-1,6
372.615,10,2,1,6
372.616,9,4,3,6
372.616,9,6,3,4
372.617,7,6,3,3
372.618,5,7,5,1
372.618,2,7,6,1
372.619,3,7,8,0
372.619,0,7,6,-2
372.62,-2,6,4,-5
372.62,-4,7,6,-5
372.621,-4,7,6,-5
372.621,-3,6,4,-6
372.622,-4,5,3,-6
372.623,-3,6,4,-4
372.623,-3,4,4,-2
372.624,-1,2,3,-1
372.624,0,2,2,0
372.625,0,2,1,0
372.626,2,3,2,2
372.626,3,4,2,4
372.627,4,3,3,4
372.627,5,4,3,5
372.628,6,3,2,5
372.629,6,3,2,5
372.629,6,1,2,6
372.63,5,0,0,5
372.63,4,0,0,5
372.631,5,0,0,5
372.631,5,0,0,5
372.632,6,0,1,6
372.632,4,-1,0,5
372.633,3,-3,-2,6
372.634,5,-4,-3,5
372.634,7,-1,-3,4
372.635,6,-1,-4,4
372.635,10,4,1,7
372.636,11,7,6,9
372.636,10,8,6,7
372.637,8,8,5,3
372.638,4,7,6,1
372.638,1,4,5,0
372.639,0,6,7,0
372.639,0,6,4,-3
372.64,-2,6,3,-6
372.641,-3,7,3,-6
372.641,-3,6,3,-7
372.642,-5,5,2,-7
372.642,-4,5,3,-5
372.643,-3,6,5,-3
372.643,-1,5,3,-1
372.644,0,4,3,0
372.645,1,4,3,1
372.645,2,4,3,2
372.646,2,3,2,3
372.646,4,3,1,3
372.647,4,3,2,3
372.647,4,2,3,5
372.648,4,1,1,4
372.649,5,2,3,7
372.649,6,1,2,6
372.65,7,1,2,4
372.65,3,-1,0,4
372.651,3,-1,-1,4
372.651,4,0,-1,4
372.652,5,0,0,5
372.652,5,-2,-3,5
372.653,5,-2,-2,6
372.654,8,0,2,10
372.654,10,3,5,13
372.655,9,0,1,8
372.655,8,0,0,5
372.656,6,1,0,3
372.657,6,3,1,1
372.657,4,4,2,0
372.658,2,5,2,0
372.658,3,7,3,-1
372.659,3,9,5,-2
372.659,1,9,5,-3
372.66,0,10,6,-5
372.661,-1,8,6,-4
372.661,-2,10,7,-3
372.662,-3,8,7,-3
372.662,-3,6,6,-3
372.663,-4,2,3,-5
372.663,-5,0,0,-4
372.664,-3,0,1,-1
372.665,0,4,4,0
372.665,0,1,2,1
372.666,2,2,4,4
372.666,3,3,4,5
372.667,5,3,4,5
372.668,5,2,1,5
372.668,5,1,0,3
372.669,4,-1,-2,2
372.669,5,0,0,5
372.67,7,2,0,6
372.67,8,3,1,6
372.671,7,1,0,6
372.671,7,2,0,5
372.672,8,1,1,6
372.673,6,-1,-1,6
372.673,6,-2,-1,7
372.674,6,-2,0,7
372.674,6,0,1,9
372.675,7,0,3,9
372.675,7,1,2,6
372.676,5,1,0,2
372.677,4,3,1,0
372.677,3,3,1,0
372.678,2,5,3,0
372.678,3,7,5,0
372.679,3,10,6,0
372.68,2,11,7,-2
372.68,0,8,5,-4
372.681,-1,8,5,-5
372.681,-2,7,4,-5
372.682,-3,6,4,-6
372.682,-3,4,2,-5
372.683,-2,4,2,-4
372.684,-3,2,2,-1
372.684,0,3,2,0
372.685,0,4,4,1
372.685,2,4,4,3
372.686,3,3,4,4
372.686,4,4,4,4
372.687,3,1,2,4
372.688,3,1,2,4
372.688,3,0,0,4
372.689,4,0,0,4
372.689,4,0,0,5
372.69,5,0,-1,5
372.69,5,0,0,5
372.691,7,0,-1,3
372.692,6,0,-1,5
372.692,7,0,-1,6
372.693,7,0,0,8
372.693,8,0,1,10
372.694,9,2,2,10
372.694,9,0,1,8
372.695,8,1,1,7
372.696,6,2,1,5
372.696,6,4,2,3
372.697,4,4,3,3
372.697,4,6,4,0
372.698,1,3,2,-1
372.698,0,6,3,-2
372.699,0,6,2,-6
372.7,0,8,4,-5
372.7,0,10,7,-3
372.701,-1,10,7,-3
372.701,0,8,6,-3
372.702,-2,6,3,-4
372.702,-2,5,3,-5
372.703,-2,3,2,-2
372.704,-2,2,1,-2
372.704,-2,2,2,0
372.705,0,2,4,1
372.705,2,4,5,2
372.706,2,4,4,3
372.707,4,2,2,3
372.707,3,1,1,4
372.708,4,1,2,5
372.708,4,1,3,6
372.709,5,2,1,6
372.709,6,1,0,5
372.71,6,0,0,6
372.711,7,1,0,5
372.711,6,1,0,5
372.712,6,1,0,4
372.712,5,0,0,6
372.713,4,-2,-2,6
372.713,6,-1,0,8
372.714,7,0,0,8
372.715,6,-1,0,8
372.715,8,1,1,7
372.716,7,2,2,5
372.716,6,4,3,3
372.717,5,6,4,2
372.717,3,5,1,0
372.718,2,3,-1,-3
372.719,3,8,2,-4
372.719,2,10,6,-3
372.72,1,12,8,-3
372.72,0,10,8,-2
