Program Time [s],data 0,data 1,data 2,data 3
431.498,2,9,5,0
431.498,1,8,5,-2
431.499,0,7,4,-2
431.499,0,6,2,-4
431.5,-1,5,1,-5
431.501,-2,2,0,-4
431.501,-1,3,1,-1
431.502,0,4,4,2
431.502,2,5,8,5
431.503,3,3,7,6
431.503,3,2,3,4
431.504,3,1,0,0
431.505,1,0,0,1
431.505,2,2,1,3
431.506,4,3,3,5
431.506,6,3,3,5
431.507,6,3,1,3
431.507,4,1,0,2
431.508,4,1,0,1
431.509,3,2,0,2
431.509,6,4,2,4
431.51,7,4,3,5
431.51,5,2,0,4
431.511,4,0,1,7
431.511,4,-1,2,7
431.512,4,-1,1,6
431.513,4,0,1,6
431.513,4,1,1,4
431.514,4,1,0,2
431.514,3,2,1,2
431.515,4,3,1,2
431.515,4,5,4,2
431.516,4,6,4,0
431.517,2,5,2,-2
431.517,0,5,2,-2
431.518,1,6,2,-4
431.518,0,7,2,-4
431.519,0,8,4,-2
431.52,1,8,5,-2
431.52,0,7,4,0
431.521,1,6,3,0
431.521,0,4,5,2
431.522,1,3,4,2
431.522,2,3,3,2
431.523,1,1,2,2
431.524,1,1,2,2
431.524,1,1,2,3
431.525,2,1,1,2
431.525,2,1,0,3
431.526,3,2,1,2
431.526,3,2,1,3
431.527,4,3,1,3
431.528,5,3,0,3
431.528,6,3,1,3
431.529,5,3,1,3
431.529,5,3,2,5
431.53,5,3,4,6
431.53,5,0,1,5
431.531,3,-1,-1,4
431.532,4,-2,-1,4
431.532,3,-1,0,6
431.533,6,0,1,6
431.533,8,3,2,5
431.534,7,4,4,5
431.534,6,5,4,4
431.535,4,4,2,2
431.536,2,2,1,0
431.536,1,4,2,0
431.537,2,5,4,-1
431.537,0,6,4,-1
431.538,1,8,5,-2
431.538,0,7,4,-3
431.539,0,7,5,-2
431.54,-1,5,3,-3
431.54,-2,3,1,-3
431.541,-1,2,2,-2
431.541,0,3,2,0
431.542,1,4,5,3
431.542,3,5,4,3
431.543,3,3,3,2
431.544,3,3,2,2
431.546,3,2,2,2
431.547,3,2,2,3
431.547,3,2,2,4
431.547,4,2,2,3
431.547,3,1,2,4
431.547,4,2,1,3
431.548,3,1,2,4
431.548,4,2,2,4
431.549,4,2,0,4
431.549,4,2,1,4
431.55,5,1,0,3
431.551,2,-1,0,5
431.551,4,0,-1,5
431.552,5,0,0,6
431.552,6,0,0,5
431.553,5,0,0,4
431.553,7,2,0,3
431.554,6,4,1,3
431.555,6,6,4,4
431.555,4,7,7,5
431.556,3,4,5,3
431.556,2,5,5,0
431.557,1,6,5,0
431.557,0,7,4,-3
431.558,-1,6,4,-4
431.559,-1,6,3,-4
431.559,-1,5,3,-3
431.56,-1,5,2,-2
431.56,0,5,4,-1
431.561,0,3,3,0
431.561,-1,2,1,0
431.562,1,3,2,2
431.563,2,2,2,1
431.563,2,2,2,2
431.564,3,2,1,2
431.564,3,3,3,4
431.565,5,3,2,4
431.566,5,3,2,4
431.566,5,3,3,5
431.567,4,1,2,5
431.567,4,1,1,4
431.568,4,1,1,4
431.568,4,1,0,4
431.569,6,1,1,3
431.57,4,2,1,3
431.57,4,2,1,3
431.571,3,0,0,3
431.571,3,-2,-2,3
431.572,5,0,0,4
431.572,5,-1,-1,5
431.573,6,1,1,5
431.574,6,3,3,6
431.574,7,6,5,6
431.575,7,6,4,4
431.575,4,4,4,2
431.576,3,5,3,1
431.576,2,6,4,0
431.577,1,6,3,-2
431.578,0,6,3,-3
431.578,0,5,3,-2
431.579,0,6,3,-1
431.579,0,6,3,-3
431.58,-1,3,2,-1
431.58,0,4,2,-1
431.581,0,3,0,-2
431.582,0,3,1,-1
431.582,1,5,3,0
431.583,2,4,2,0
431.583,2,3,2,0
431.584,2,3,3,2
431.585,4,5,3,3
431.585,4,5,6,6
431.586,5,5,7,8
431.586,4,2,4,6
431.587,4,1,5,8
431.587,4,2,5,6
431.588,2,-1,0,2
431.589,0,-3,-2,1
431.589,1,-1,-1,1
431.59,2,-1,-1,2
431.59,2,-1,0,3
431.591,3,-2,0,5
431.591,6,0,0,6
431.592,8,2,1,7
431.593,8,2,2,6
431.593,8,3,2,6
431.594,7,3,1,4
431.594,6,5,3,3
431.595,4,5,3,3
431.595,3,5,3,2
431.596,3,4,3,0
431.596,2,6,3,-1
431.597,1,6,2,-2
431.598,0,7,3,-2
431.598,0,7,3,-3
431.599,0,6,4,-3
431.599,-1,5,2,-3
431.6,-1,4,1,-3
431.6,0,5,2,-1
431.601,0,3,0,-1
431.602,1,3,2,0
431.602,3,5,3,2
431.603,4,5,4,4
431.603,5,6,7,6
431.604,5,4,6,5
431.604,2,1,3,2
431.605,0,0,0,2
431.606,0,-1,0,2
431.606,1,0,0,3
431.607,3,0,-1,2
431.607,4,1,-1,2
431.608,5,2,0,3
431.609,6,4,1,5
431.609,6,4,2,4
431.61,7,4,2,5
431.61,5,1,1,5
431.611,6,0,1,5
431.611,5,0,0,5
431.612,4,0,0,5
431.613,5,0,0,4
431.613,5,1,1,5
431.614,5,2,1,4
431.614,5,5,3,3
431.615,4,5,4,3
431.616,3,5,4,1
431.616,2,5,4,0
431.617,2,7,5,-1
431.617,1,7,4,-2
431.618,-1,5,2,-4
431.618,-1,5,2,-2
431.619,0,7,3,-2
431.62,0,6,5,-1
431.62,-1,4,4,0
431.621,0,3,2,0
431.621,0,3,3,0
431.622,1,3,1,0
431.622,1,3,2,0
431.623,1,2,0,1
431.624,2,3,2,3
431.624,4,4,3,5
431.625,5,3,2,4
431.625,4,2,1,3
431.626,4,2,0,2
431.626,4,1,0,2
431.627,5,3,1,4
431.627,6,3,1,4
431.628,6,3,0,2
431.629,6,4,1,4
431.629,6,4,1,4
431.63,5,2,1,4
431.63,4,1,4,9
431.631,5,1,5,10
431.632,4,0,2,7
431.632,2,-4,-4,2
431.633,2,-2,-3,2
431.633,4,1,1,4
431.634,6,5,7,7
431.634,5,6,7,5
431.635,3,3,3,1
431.636,0,1,0,-1
431.636,1,2,0,-2
431.637,0,5,1,-2
431.637,1,7,4,-1
431.638,2,9,6,0
431.638,2,8,4,-1
431.639,0,7,3,-3
431.64,-1,4,2,-4
431.64,-1,5,3,-1
431.641,0,4,3,0
431.641,1,4,3,2
431.642,3,5,3,1
431.642,1,3,2,1
431.643,2,2,2,3
431.644,4,4,4,5
431.644,4,3,3,5
431.645,5,3,2,3
431.645,3,1,0,2
431.646,3,1,0,3
431.646,3,1,1,3
431.647,4,2,1,3
431.648,4,2,0,2
431.648,3,1,-1,1
431.649,4,1,0,2
431.649,5,3,1,5
431.65,5,2,1,5
431.65,5,0,0,5
431.651,5,0,0,5
431.652,7,1,1,7
431.652,6,1,1,7
431.653,7,3,4,7
431.653,7,4,4,6
431.654,5,3,2,2
431.654,3,2,2,2
431.655,2,3,1,0
431.656,1,4,2,0
431.656,1,4,2,-1
431.657,1,5,2,-2
431.657,0,6,4,-2
431.658,0,7,4,-2
431.659,0,7,5,-2
431.659,0,7,4,-2
431.66,0,5,4,-2
431.66,0,6,4,0
431.661,-1,3,3,0
431.661,1,2,2,0
431.662,1,3,2,1
431.663,2,3,2,2
431.663,2,3,2,3
431.664,4,3,3,3
431.664,4,2,0,1
431.665,3,3,1,1
431.665,4,4,3,4
431.666,5,3,2,3
431.667,4,2,1,3
431.667,5,3,2,4
431.668,5,3,3,6
431.668,5,3,4,6
431.669,4,1,1,4
431.669,2,-1,0,1
431.67,0,-3,-2,2
431.671,1,-2,0,5
431.671,4,0,0,6
431.672,6,1,2,7
431.672,7,4,3,7
431.673,7,3,3,5
431.673,7,3,0,3
431.674,5,4,1,3
431.675,5,5,4,4
431.675,6,5,2,2
431.676,4,5,3,0
431.676,2,6,4,0
431.677,1,7,5,-2
431.677,0,6,3,-5
431.678,-3,3,2,-5
431.679,-3,5,3,-4
431.679,-3,3,3,-3
431.68,-2,4,3,-3
431.68,-2,4,3,-1
431.681,0,3,4,1
431.681,3,6,5,3
431.682,4,5,4,3
431.683,4,5,4,4
431.683,4,4,3,3
431.684,3,2,3,4
431.684,4,3,3,4
431.685,3,1,2,3
431.685,3,1,0,2
431.686,3,1,0,3
431.687,4,1,0,2
431.687,4,2,0,4
431.688,6,2,1,4
431.688,6,3,2,5
431.689,6,2,1,4
431.689,5,2,1,4
431.69,3,-2,-2,3
431.691,4,-1,-2,4
431.691,5,0,-1,4
431.692,6,0,1,7
431.692,8,3,1,6
431.693,8,4,1,4
431.694,7,6,5,5
431.694,6,6,6,5
431.695,4,6,7,5
431.695,3,4,5,3
431.696,1,2,0,-2
431.696,-1,2,0,-3
431.697,-1,3,0,-5
431.698,-1,5,2,-4
431.698,-1,6,5,-2
431.699,0,8,6,0
431.699,1,8,5,0
431.7,1,6,5,0
431.7,0,3,2,0
431.701,0,2,1,0
431.702,0,3,3,1
431.702,1,3,2,1
431.703,2,2,2,2
431.703,2,2,3,3
431.704,3,2,2,3
431.704,4,3,2,3
431.705,4,2,2,4
431.706,5,2,1,4
431.706,4,2,1,4
431.707,5,1,0,4
431.707,5,4,3,5
431.708,6,6,6,4
431.708,4,2,1,2
431.709,2,0,0,0
431.71,0,-2,-2,2
431.71,2,-2,-1,4
431.711,4,-1,-2,5
431.711,7,0,-1,3
431.712,6,1,-1,5
431.712,9,4,2,7
431.713,9,5,4,7
431.714,8,6,4,5
431.714,6,6,5,4
431.715,5,6,5,2
431.715,2,4,2,0
431.716,1,4,2,-1
431.716,0,5,3,-1
431.717,0,6,4,-2
431.718,0,6,4,-2
431.718,0,5,4,-3
431.719,-1,5,3,-4
431.719,-2,4,2,-3
431.72,-1,4,3,-2
431.721,-1,3,2,0
431.721,0,3,1,0
431.722,1,3,2,1
431.722,1,2,1,1
431.723,3,3,2,2
431.723,3,4,4,5
431.724,5,4,4,5
431.725,5,3,1,3
431.725,4,2,1,2
431.726,3,3,2,3
431.726,4,2,2,5
431.727,5,3,3,5
431.727,5,4,3,6
431.728,5,4,6,7
431.729,3,0,1,4
431.729,2,-1,-1,1
431.73,1,-2,-1,2
431.73,3,-1,-2,2
431.731,3,0,0,4
431.731,5,1,1,6
431.732,5,1,2,6
431.733,8,3,2,6
431.733,6,2,1,4
431.734,5,3,1,2
431.734,4,3,2,3
431.735,4,6,3,2
431.735,4,5,3,1
431.736,2,5,3,-1
431.737,0,5,2,-2
431.737,0,6,3,-3
431.738,0,7,4,-2
431.738,1,8,4,-2
431.739,0,7,4,-2
431.739,0,5,3,-1
431.74,0,6,4,0
431.741,0,5,3,1
431.741,0,2,2,0
431.742,0,1,1,0
431.742,0,2,1,2
431.743,1,2,1,3
431.743,4,3,4,5
431.744,6,4,4,5
431.745,5,2,1,3
431.745,4,1,-1,0
431.746,2,2,0,2
431.746,4,3,1,3
431.747,5,3,1,3
431.748,4,1,1,4
