Program Time [s],data 0,data 1,data 2,data 3
3931.74,5,3,-1,1
3931.74,7,7,2,5
3931.74,8,7,5,6
3931.74,7,4,3,5
3931.74,4,1,1,4
3931.75,4,1,0,3
3931.75,4,0,1,3
3931.75,2,-2,-2,4
3931.75,3,-4,-3,5
3931.75,4,-2,0,7
3931.75,6,-1,0,8
3931.75,6,0,0,7
3931.75,6,2,2,7
3931.75,7,4,5,7
3931.75,6,5,7,6
3931.75,5,5,3,1
3931.75,1,1,-3,-4
3931.75,1,4,-1,-5
3931.75,0,7,2,-3
3931.75,2,9,4,-3
3931.75,2,10,6,-2
3931.75,0,9,4,-3
3931.75,0,8,4,-2
3931.76,0,7,7,0
3931.76,0,7,7,0
3931.76,0,4,4,0
3931.76,-1,2,2,0
3931.76,-1,1,0,-1
3931.76,0,0,-1,-1
3931.76,0,1,2,3
3931.76,3,5,8,8
3931.76,6,6,9,9
3931.76,4,2,4,4
3931.76,1,-1,-2,0
3931.76,0,-1,-2,0
3931.76,2,0,0,3
3931.76,4,1,0,3
3931.76,4,1,-1,2
3931.76,7,2,-3,0
3931.76,7,4,0,2
3931.77,8,8,7,9
3931.77,8,6,9,12
3931.77,6,0,1,7
3931.77,4,-3,-4,4
3931.77,4,-2,-3,3
3931.77,3,-4,-4,4
3931.77,5,0,0,5
3931.77,8,5,6,10
3931.77,10,9,9,9
3931.77,8,6,6,5
3931.77,2,1,1,0
3931.77,-1,2,3,0
3931.77,1,6,6,1
3931.77,0,8,7,0
3931.77,-1,6,5,-4
3931.77,-5,1,0,-9
3931.77,-7,2,0,-8
3931.77,-5,3,2,-4
3931.78,0,5,0,-5
3931.78,0,7,0,-4
3931.78,1,5,0,-3
3931.78,2,4,1,0
3931.78,5,7,6,5
3931.78,7,8,7,6
3931.78,8,8,8,7
3931.78,7,8,9,9
3931.78,5,1,2,3
3931.78,0,-1,-2,0
3931.78,0,-1,-1,1
3931.78,2,1,0,2
3931.78,3,1,0,2
3931.78,4,2,2,4
3931.78,5,4,4,6
3931.78,6,5,6,7
3931.78,6,4,5,6
3931.79,3,1,2,3
3931.79,0,-6,-5,1
3931.79,0,-7,-5,3
3931.79,3,-3,-3,5
3931.79,6,-1,-4,3
3931.79,8,0,-3,4
3931.79,10,5,1,5
3931.79,10,7,5,7
3931.79,10,8,6,6
3931.79,6,7,5,3
3931.79,4,4,1,1
3931.79,3,5,1,0
3931.79,4,8,3,-1
3931.79,2,9,4,-2
3931.79,1,10,7,-1
3931.79,0,8,5,-4
