Program Time [s],data 0,data 1,data 2,data 3
10344,10,10,8,6
10344,6,8,6,5
10344,6,10,10,5
10344,5,9,7,1
10344,0,1,0,-2
10344,-6,-7,-8,-4
10344,-3,-5,-5,0
10344,3,2,2,5
10344,7,5,4,5
10344,8,7,5,4
10344,6,8,6,3
10344,5,8,6,1
10344,4,9,7,0
10344,4,14,11,-2
10344,-3,4,1,-7
10344,-8,-2,-3,-9
10344,-8,-5,-6,-6
10344,-6,-7,-6,-1
10344,2,0,0,4
10344,9,11,9,8
10344,13,21,19,10
10344,12,22,18,6
10344,3,13,10,0
10344,-3,2,1,-4
10344,-6,-5,-3,1
10344,-2,-11,-9,3
10344,0,-14,-14,3
10344,3,-12,-12,4
10344,6,-3,-3,7
10344,12,7,6,11
10344,14,12,12,13
10344,14,14,12,10
10344,8,5,2,2
10344,0,-4,-4,-1
10344,-2,-8,-8,-2
10344,0,-3,-4,0
10344,5,9,7,4
10344,9,19,15,3
10344,1,4,2,-3
10344,-4,-3,-2,-1
10344,0,0,0,3
10344,4,2,1,2
10344,3,4,4,4
10344,6,8,8,6
10344,8,11,8,5
10344,5,7,4,0
10344,0,1,-1,-3
10344,-1,0,0,-1
10344,1,1,0,1
10344,4,4,3,3
10344,3,1,0,0
10344,2,1,0,1
10344,4,6,5,3
10344,5,9,8,3
10344,3,6,5,2
10344,1,2,0,-2
10344,-3,-3,-2,-2
10344,-2,-1,0,0
10344,2,2,3,3
10344,5,6,5,4
10344,5,6,5,2
10344,2,4,3,1
10344,1,3,3,1
10344,1,2,1,2
10344,3,3,2,1
10344,2,4,6,7
10344,8,7,5,7
10344,8,5,2,1
10344,3,3,1,0
10344,2,4,2,0
10344,1,4,3,0
10344,0,1,2,0
10344,-1,-1,0,0
10344,-1,-2,-1,2
10344,2,1,2,4
10344,5,3,3,5
10344,7,5,4,6
10344,8,6,5,5
10344,5,4,2,2
10344,5,2,0,1
10344,2,0,-1,0
10344,0,0,-2,0
10344,0,-1,-1,1
10344,4,3,2,5
10344,6,4,4,6
10344,7,5,4,5
10344,7,7,5,4
10344,5,7,5,2
10344,4,8,6,0
10344,4,13,10,0
10344,-2,3,2,-4
10344,-4,-1,-2,-3
10344,-2,-1,-1,-1
10344,0,0,0,0
10344,0,3,2,1
10344,1,4,4,2
10344,2,4,4,2
10344,3,5,4,2
10344,2,2,2,1
10344,1,0,1,1
10344,1,-1,-1,3
10344,2,-1,0,6
10344,8,5,6,7
10344,8,6,6,6
10344,4,0,0,3
10344,3,0,0,4
10344,7,3,1,5
10344.1,7,4,1,4
10344.1,5,4,0,2
10344.1,4,4,2,2
10344.1,4,6,4,3
10344.1,5,7,5,2
10344.1,5,8,6,0
10344.1,2,8,5,-2
10344.1,-1,4,3,-2
10344.1,-3,-1,0,-1
10344.1,-1,-2,-2,-1
10344.1,-1,-4,-3,0
10344.1,0,-6,-5,1
10344.1,3,-1,0,6
10344.1,8,5,5,9
10344.1,11,7,5,8
10344.1,7,3,2,4
10344.1,6,4,4,4
10344.1,5,7,5,4
10344.1,5,5,3,2
10344.1,5,6,4,0
10344.1,2,6,4,0
10344.1,0,5,3,-1
10344.1,-1,3,1,-2
10344.1,0,3,3,0
10344.1,2,9,6,1
10344.1,0,4,4,0
10344.1,-3,-5,-4,-2
10344.1,-4,-11,-9,0
10344.1,0,-6,-4,5
10344.1,9,4,4,10
10344.1,12,10,9,11
10344.1,12,12,10,9
10344.1,7,5,5,6
10344.1,5,1,0,1
10344.1,1,-2,-3,0
10344.1,0,-1,-2,0
10344.1,2,1,0,2
10344.1,4,4,4,4
10344.1,11,18,15,5
10344.1,7,16,13,1
10344.1,-2,0,0,-2
10344.1,-2,-3,-2,-1
10344.1,0,0,0,1
10344.1,3,2,0,-1
10344.1,0,0,-1,-4
10344.1,-2,0,0,-2
10344.1,0,5,4,0
10344.1,3,8,6,1
10344.1,2,7,5,0
10344.1,0,4,3,0
10344.1,0,5,5,2
10344.1,3,6,7,5
10344.1,5,3,3,5
10344.1,3,0,0,9
10344.1,8,-2,-3,8
10344.1,8,-3,-6,4
10344.1,6,-3,-6,3
10344.1,6,-1,-2,4
10344.1,7,4,1,3
10344.1,6,8,6,3
10344.1,5,8,7,3
10344.1,7,15,13,3
10344.1,2,10,8,-1
10344.1,-5,-1,-2,-6
10344.1,-7,-3,-3,-5
10344.1,-3,0,0,-2
10344.1,-1,2,3,1
10344.1,1,3,3,2
10344.1,1,2,2,1
