Program Time [s],data 0,data 1,data 2,data 3
142.883,0,2,4,1
142.884,0,3,3,2
142.885,1,3,3,2
142.885,1,2,1,0
142.886,1,1,1,1
142.886,2,1,1,1
142.887,3,1,0,2
142.887,3,0,0,3
142.888,4,0,0,4
142.889,5,0,0,3
142.889,5,1,0,3
142.89,4,1,1,5
142.89,6,3,3,6
142.892,7,4,4,6
142.892,7,4,3,5
142.892,5,4,3,3
142.893,4,3,3,3
142.893,3,4,3,3
142.894,4,6,4,2
142.894,3,4,4,1
142.895,2,2,2,0
142.895,0,2,2,0
142.896,1,2,1,0
142.897,1,3,3,2
142.897,2,2,1,0
142.898,1,0,0,0
142.898,0,-2,-2,1
142.899,3,0,0,3
142.899,4,2,2,4
142.9,4,2,3,5
142.901,5,4,5,6
142.901,5,7,8,6
142.902,5,6,6,4
142.902,2,4,3,1
142.903,1,3,3,2
142.903,2,3,3,2
142.904,5,5,1,2
142.905,6,6,0,-1
142.905,2,2,-1,-2
142.906,0,1,-1,-1
142.906,3,3,0,0
142.907,2,2,0,-1
142.907,1,0,-1,-1
142.908,0,0,-1,0
142.909,0,-1,0,2
142.909,2,0,0,3
142.91,2,0,2,7
142.91,6,2,5,9
142.911,9,6,6,9
142.911,10,9,7,7
142.912,9,10,6,4
142.913,5,6,4,1
142.913,2,4,3,1
142.914,1,2,2,1
142.914,0,1,1,0
142.915,0,0,0,0
142.915,1,1,1,1
142.916,0,0,1,1
142.917,1,2,2,1
142.917,3,3,2,3
142.918,5,4,2,3
142.918,3,2,0,2
142.919,3,2,1,1
142.92,2,1,1,2
142.92,1,1,2,3
142.921,3,3,3,3
142.921,6,9,7,4
142.922,6,8,6,2
142.922,2,5,4,1
142.923,1,2,2,0
142.924,0,2,1,0
142.924,0,1,1,0
142.925,0,0,0,0
142.925,0,-1,0,0
142.926,1,1,3,3
142.926,3,3,3,3
142.927,3,1,1,2
142.928,3,2,2,4
142.928,5,2,0,4
142.929,5,1,0,4
142.929,6,1,0,5
142.93,9,3,-1,5
142.93,12,5,-2,4
142.931,10,4,0,2
142.932,8,6,2,2
142.932,4,4,2,1
142.933,0,1,2,0
142.933,-1,0,3,3
142.934,1,3,5,4
142.934,2,4,5,3
142.935,2,3,4,2
142.936,0,2,3,2
142.936,2,3,4,3
142.937,3,3,2,3
142.937,5,3,1,2
142.938,5,2,-1,0
142.938,4,2,0,0
142.939,2,2,0,1
142.94,1,1,0,3
142.94,4,3,2,2
142.941,3,4,3,2
142.941,3,6,5,4
142.942,4,7,5,3
142.943,4,5,3,1
142.943,2,4,2,0
142.944,0,1,0,0
142.944,0,1,0,0
142.945,1,1,0,0
142.945,2,2,1,1
142.946,2,2,0,1
142.946,3,2,1,1
142.947,3,1,0,1
142.948,2,0,0,2
142.948,2,0,0,3
142.949,3,0,0,3
142.949,1,-1,1,6
142.95,3,0,4,9
142.951,9,5,5,9
142.951,10,7,5,7
142.952,8,7,6,6
142.952,6,6,5,4
142.953,4,5,4,2
142.953,2,3,3,0
142.954,0,2,1,0
142.955,0,1,0,0
142.955,1,1,0,0
142.956,2,3,1,2
142.956,7,6,2,1
142.957,6,6,0,0
142.957,3,1,-1,-2
142.958,0,-1,-2,-1
142.959,0,0,-1,0
142.959,2,0,0,2
142.96,2,1,0,3
142.96,5,4,3,5
142.961,7,7,7,5
142.961,6,8,7,4
142.962,5,7,6,2
142.963,2,4,4,1
142.963,1,5,3,1
142.964,1,2,1,0
142.964,0,1,0,-1
142.965,0,0,0,0
142.965,0,0,0,0
