Program Time [s],data 0,data 1,data 2,data 3
950.262,1,2,3,2
950.262,0,0,1,0
950.263,0,0,1,1
950.263,1,1,2,2
950.264,3,2,2,4
950.265,6,4,2,3
950.265,5,3,1,1
950.266,4,4,2,0
950.266,2,4,2,0
950.267,1,4,2,0
950.267,0,2,1,1
950.268,2,2,1,1
950.269,3,3,1,2
950.269,3,1,0,2
950.27,6,6,2,3
950.27,7,7,5,4
950.271,5,6,3,1
950.272,2,5,3,0
950.272,1,4,3,1
950.273,2,4,2,0
950.273,1,3,3,1
950.274,1,2,1,0
950.274,1,2,1,0
950.275,2,2,1,1
950.276,3,3,1,2
950.276,4,3,1,1
950.277,3,1,0,1
950.277,1,0,0,1
950.278,1,-1,0,3
950.278,2,0,2,5
950.279,5,2,3,7
950.28,6,5,6,7
950.28,6,4,5,7
950.281,6,3,2,4
950.281,6,2,1,4
950.282,5,3,1,3
950.282,5,4,3,1
950.283,2,4,2,0
950.284,1,3,2,0
950.284,2,3,1,0
950.285,0,2,1,0
950.285,0,0,0,0
950.286,1,0,0,0
950.286,0,0,1,1
950.287,0,0,2,3
950.288,1,0,2,4
950.288,0,0,4,6
950.289,3,4,8,8
950.289,8,8,8,8
950.29,10,10,7,7
950.29,13,12,4,2
950.291,10,11,2,0
950.292,6,8,0,-2
950.292,7,8,-2,-6
950.293,1,2,-5,-10
950.293,-5,-2,-6,-8
950.294,-6,-3,-4,-5
950.294,-4,-2,-2,0
950.295,-1,0,1,2
950.296,1,0,3,5
950.296,3,3,7,8
950.297,3,2,7,9
950.297,3,1,7,9
950.298,3,0,4,8
950.298,5,1,3,9
950.299,8,3,3,10
950.3,15,11,4,7
950.3,14,11,1,1
950.301,5,3,-3,-2
950.301,0,-1,-3,-2
950.302,-1,-2,-2,0
950.303,0,0,0,0
950.303,2,2,2,2
950.304,3,5,5,3
950.304,4,6,7,3
950.305,2,4,3,0
950.305,0,1,0,0
950.306,1,2,2,1
950.307,3,4,2,2
950.307,3,1,0,1
950.308,1,0,0,1
950.308,2,0,0,3
950.309,5,3,2,4
950.309,7,6,5,5
950.31,6,8,6,4
950.311,5,7,6,3
950.311,2,6,5,0
950.312,1,5,4,0
950.312,2,5,3,0
950.313,0,1,1,-2
950.313,-4,-2,0,0
950.314,-2,-1,0,1
950.315,0,1,3,3
950.315,2,3,4,4
950.316,3,2,3,5
950.316,3,0,1,6
950.317,6,0,0,7
950.318,10,4,0,6
950.318,13,6,-1,2
950.319,8,4,-1,0
950.319,4,3,0,2
950.32,5,4,3,2
950.32,2,3,2,0
950.321,0,1,1,1
950.321,0,-2,0,2
950.322,2,-4,-2,4
950.323,5,0,0,4
950.323,5,2,1,3
950.324,5,4,3,4
950.324,5,6,5,5
950.325,7,6,5,4
950.325,4,3,1,0
950.326,1,1,-1,-2
950.327,0,0,0,0
950.327,1,2,1,2
950.328,3,3,3,3
950.328,4,3,2,2
950.329,2,1,1,1
950.329,3,2,2,2
950.33,5,6,6,4
950.331,7,9,7,4
950.331,4,8,6,1
950.332,2,5,3,-1
950.332,-1,2,1,-2
950.333,-2,0,2,0
950.333,-3,-1,2,0
950.334,-1,0,3,1
950.335,0,0,2,2
950.335,0,0,3,3
950.336,1,0,3,5
950.336,3,1,3,7
950.337,7,2,1,7
950.337,10,4,0,9
950.338,19,11,0,5
950.339,16,11,0,0
950.339,8,6,-1,-1
950.34,3,1,-1,-3
950.34,0,-1,-3,-3
950.341,-2,-1,-1,-1
950.342,0,0,0,2
950.342,1,2,3,3
950.343,1,1,2,3
950.343,0,0,2,2
950.344,0,1,4,4
950.344,3,4,6,6
950.345,6,6,6,6
950.346,9,7,4,4
950.346,6,5,1,1
950.347,3,2,0,0
950.347,1,2,1,0
950.348,1,0,0,0
950.348,0,1,1,1
950.349,3,3,1,1
950.35,3,4,3,2
950.35,4,7,6,4
950.351,4,7,6,3
950.351,2,5,5,2
950.352,1,2,2,1
950.352,0,1,2,2
950.353,1,3,3,2
950.354,3,4,2,1
950.354,2,3,3,5
950.355,7,5,1,2
950.355,6,3,-1,0
950.356,3,1,-1,0
950.357,1,-1,-3,0
950.357,1,0,-1,2
950.358,2,1,1,4
950.358,4,1,1,3
950.359,4,2,2,4
950.359,5,3,3,6
950.36,6,6,6,6
950.361,5,5,6,5
950.361,3,3,4,4
950.362,4,4,2,2
950.362,2,1,0,0
950.363,0,0,0,0
950.363,0,0,2,2
950.364,2,2,1,3
950.365,3,1,0,3
950.365,6,5,0,2
950.366,6,4,0,1
950.366,6,3,0,2
950.367,7,5,0,0
950.367,3,2,-1,-1
950.368,0,0,0,0
950.369,2,2,1,2
950.369,4,5,5,4
950.37,5,7,6,3
950.37,3,5,6,2
950.371,1,5,5,1
950.371,1,5,5,2
950.372,2,5,6,3
950.373,2,4,4,1
950.373,1,4,3,0
950.374,1,3,1,0
950.374,0,2,1,0
950.375,1,1,0,1
950.375,1,1,0,1
950.376,1,0,0,2
950.377,2,0,0,1
950.377,3,0,1,4
950.378,4,2,1,4
950.378,3,1,1,6
950.379,6,2,2,5
950.379,5,3,4,6
950.38,6,4,3,6
950.381,6,5,4,5
950.381,7,5,2,4
950.382,5,2,0,2
950.382,5,1,-2,0
950.383,0,-1,-3,-1
950.383,0,0,0,0
950.384,0,2,3,2
950.385,1,3,4,4
950.385,4,4,5,4
950.386,3,3,3,3
950.386,3,2,1,1
950.387,3,3,2,2
950.388,3,3,1,1
950.388,4,5,3,3
950.389,5,5,4,2
950.389,3,6,4,2
950.39,4,6,4,1
950.39,2,4,2,0
950.391,2,3,1,0
950.392,3,6,4,0
950.392,2,6,3,0
950.393,2,5,2,0
950.393,1,3,2,1
950.394,2,3,1,1
950.394,1,1,1,0
950.395,0,1,0,0
950.396,0,0,-1,0
950.396,0,-2,-1,2
950.397,1,0,0,4
950.397,5,1,1,5
950.398,5,2,2,6
950.398,7,2,2,6
950.399,5,0,0,6
950.4,7,2,3,7
950.4,6,4,5,7
950.401,4,4,6,5
950.401,2,3,6,4
950.402,1,3,6,3
950.403,-1,0,2,2
950.403,-1,-1,1,3
950.404,1,0,1,6
950.404,10,7,2,7
950.405,17,13,1,2
950.405,10,8,-3,-3
950.406,4,4,-4,-5
950.406,-1,0,-4,-8
950.407,-5,-3,-3,-4
950.408,-2,0,0,1
950.408,3,5,4,1
950.409,1,4,5,4
950.409,2,5,6,6
950.41,8,8,5,6
950.411,11,11,5,2
950.411,7,8,3,0
950.412,3,6,3,-1
950.412,0,3,2,-1
950.413,-1,1,1,-3
950.413,-2,0,1,0
950.414,-1,1,2,2
950.414,2,3,4,3
950.415,3,4,4,2
950.416,0,-2,-1,1
950.416,0,-5,-3,3
950.417,4,0,0,7
