Program Time [s],data 0,data 1,data 2,data 3
829.739,9,7,4,5
829.74,8,9,4,4
829.74,6,8,4,3
829.741,5,7,4,1
829.741,4,8,5,1
829.742,3,7,4,-1
829.742,0,6,5,0
829.743,0,5,6,0
829.744,0,5,5,0
829.744,0,3,2,-1
829.745,-2,0,0,0
829.745,0,0,0,1
829.746,2,1,1,2
829.746,3,1,1,2
829.747,2,0,0,2
829.748,4,0,1,4
829.748,3,0,1,5
829.749,4,0,2,6
829.749,5,0,1,6
829.75,5,-1,0,6
829.75,6,0,1,7
829.751,7,4,5,8
829.752,9,6,6,8
829.752,8,5,3,4
829.753,5,4,3,2
829.753,2,2,0,0
829.754,0,1,0,0
829.755,0,0,0,-1
829.755,0,0,0,1
829.756,2,1,1,0
829.756,1,2,1,1
829.757,1,1,0,1
829.757,2,2,0,2
829.758,4,3,0,1
829.758,5,3,1,2
829.759,5,4,2,2
829.76,5,6,4,3
829.76,6,7,5,4
829.761,7,9,6,3
829.761,5,9,7,2
829.762,3,8,6,0
829.762,3,8,4,0
829.763,0,5,3,-2
829.764,-1,3,2,-2
829.764,-2,1,1,-1
829.765,-2,0,0,-1
829.765,-2,0,0,0
829.766,0,0,2,2
829.767,2,1,3,4
829.767,4,2,3,6
829.768,6,4,3,6
829.768,7,4,2,5
829.769,7,3,0,4
829.769,4,-1,-1,2
829.77,2,-3,-2,4
829.771,4,0,1,6
829.771,6,3,4,7
829.772,6,5,4,6
829.772,6,4,4,4
829.773,5,3,3,3
829.773,3,1,0,1
829.774,1,0,0,0
829.775,2,0,0,0
829.775,2,2,0,1
829.776,1,0,1,2
829.776,2,2,1,2
829.777,2,1,1,2
829.777,4,3,2,3
829.778,5,6,3,2
829.779,5,5,3,2
829.779,4,4,2,1
829.78,4,4,1,1
829.78,4,3,0,0
829.781,5,5,3,2
829.781,7,9,6,3
829.782,5,10,7,2
829.783,5,10,6,0
829.783,0,6,3,-2
829.784,-1,3,3,-1
829.784,-2,2,2,-2
829.785,-3,0,1,-1
829.785,-3,0,2,0
829.786,-1,0,2,1
829.787,0,0,3,5
829.787,4,3,3,6
829.788,6,2,1,5
829.788,6,1,0,4
829.789,5,-1,-2,5
829.789,6,0,-2,4
829.79,6,-1,-2,4
829.791,6,2,1,6
829.791,7,3,4,7
829.792,6,5,4,7
829.792,6,3,4,5
829.793,4,2,1,3
829.794,3,1,0,1
829.794,2,0,0,1
829.795,3,2,0,1
829.795,2,1,0,1
829.796,3,3,0,1
829.796,3,2,0,1
829.797,1,1,0,0
829.798,0,0,1,1
829.798,2,2,2,3
829.799,4,4,3,4
829.799,7,7,4,4
829.8,6,8,4,3
829.8,5,7,5,1
829.801,4,6,4,0
829.802,2,6,4,0
829.802,0,5,5,0
829.803,0,6,6,0
829.803,0,6,6,0
829.804,0,3,4,0
829.804,-1,2,2,-1
829.805,-2,0,1,0
829.806,0,0,1,1
829.806,1,2,2,2
829.807,4,2,1,3
829.807,3,1,0,4
829.808,6,1,0,6
829.808,10,4,-1,3
829.809,7,0,-2,3
829.81,4,-2,-2,3
829.81,4,-1,0,5
829.811,6,3,3,6
829.811,6,5,5,6
829.812,3,3,4,5
829.812,4,5,5,4
829.813,3,3,3,3
829.814,3,1,0,0
829.814,0,-1,0,0
829.815,0,-3,-2,1
829.815,1,0,0,3
829.816,3,1,2,4
829.816,5,3,2,4
829.817,5,3,2,4
829.818,5,3,1,4
829.818,5,4,2,3
829.819,6,4,1,1
829.819,3,3,1,0
829.82,2,3,3,3
829.821,4,6,5,4
829.821,5,7,5,3
829.822,4,8,6,1
829.822,2,6,4,0
829.823,1,6,4,0
829.823,1,5,3,-1
829.824,1,5,4,0
829.825,5,8,1,-1
829.825,3,4,-1,-5
829.826,-1,0,-1,-3
829.826,-2,0,-1,-1
829.827,0,0,0,0
829.827,1,0,0,2
829.828,2,0,1,5
829.829,5,1,2,6
829.829,7,2,2,7
829.83,8,2,2,7
829.83,7,2,1,6
829.831,7,5,4,7
829.831,6,5,4,6
829.832,6,3,4,4
829.833,2,0,1,2
829.833,1,0,0,1
829.834,0,0,0,1
829.834,1,2,2,3
829.835,3,2,2,2
829.835,3,2,1,2
829.836,3,2,1,1
829.837,3,2,1,2
829.837,5,4,1,1
829.838,3,2,0,0
829.838,3,2,0,2
829.839,3,1,0,1
829.839,5,4,2,3
829.84,5,6,4,3
829.841,5,6,5,2
829.841,4,7,6,3
829.842,4,9,7,1
829.842,2,6,5,0
829.843,1,6,5,0
829.843,0,5,3,-1
829.844,-2,1,2,-2
829.845,-2,0,2,0
829.845,0,1,2,0
829.846,0,3,2,1
829.846,1,2,2,3
829.847,3,1,0,3
829.847,4,1,0,3
829.848,4,0,-1,4
829.849,5,0,-1,4
829.849,4,-1,-2,5
829.85,6,0,-1,5
829.85,6,2,2,6
829.851,6,5,7,8
829.852,5,5,8,7
829.852,2,2,6,6
829.853,2,1,4,5
