Program Time [s],data 0,data 1,data 2,data 3
909.253,2,5,2,0
909.254,0,3,1,0
909.255,2,3,1,0
909.255,2,3,1,1
909.256,2,0,0,1
909.256,1,-3,-4,1
909.257,2,-4,-4,3
909.258,4,-3,-2,6
909.258,7,0,0,8
909.259,8,2,4,9
909.259,8,5,7,9
909.26,7,7,9,9
909.26,6,6,9,7
909.261,3,3,5,5
909.261,3,2,2,3
909.262,2,2,1,1
909.263,1,0,0,1
909.263,2,1,0,1
909.264,1,0,-1,2
909.264,5,2,-1,3
909.265,8,6,0,0
909.265,5,5,0,0
909.266,3,4,0,-1
909.267,2,2,0,0
909.267,0,2,0,0
909.268,0,2,2,0
909.268,0,2,3,2
909.269,3,5,5,4
909.269,5,5,5,5
909.27,4,3,2,3
909.271,5,5,3,3
909.271,6,6,4,3
909.272,6,8,6,1
909.272,3,6,4,1
909.273,1,4,2,0
909.274,0,1,1,-1
909.274,-1,0,0,-1
909.275,0,2,2,0
909.275,0,3,4,1
909.276,0,0,2,1
909.276,0,-2,0,3
909.277,1,-1,0,4
909.278,3,0,1,7
909.278,6,1,1,7
909.279,9,3,1,6
909.279,10,4,1,7
909.28,12,7,3,6
909.28,11,8,2,3
909.281,6,4,0,0
909.282,1,0,-1,0
909.282,0,-1,-1,0
909.283,-1,-1,0,0
909.283,0,0,1,2
909.284,1,0,3,4
909.284,4,4,4,5
909.285,4,4,5,4
909.286,4,3,3,2
909.286,2,1,2,4
909.287,5,4,2,4
909.287,7,4,0,2
909.288,6,4,0,0
909.289,3,3,0,0
909.289,3,3,1,1
909.29,3,5,3,1
909.29,4,8,6,2
909.291,5,9,6,1
909.291,3,6,2,-1
909.292,0,5,3,-3
909.292,-2,2,2,-2
909.293,-3,0,1,-1
909.294,-2,1,2,0
909.294,-1,1,3,3
909.295,0,1,3,4
909.295,3,2,2,5
909.296,6,4,3,7
909.297,11,7,2,6
909.297,12,8,0,1
909.298,5,2,-2,-1
909.298,1,0,-3,0
909.299,0,-4,-3,1
909.299,1,-3,-1,4
909.3,6,2,2,7
909.3,7,5,5,7
909.301,7,5,5,6
909.302,6,6,5,5
909.302,6,3,3,3
909.303,4,2,1,2
909.303,2,0,0,0
909.304,1,0,0,1
909.305,2,2,1,0
909.305,3,3,3,2
909.306,2,2,2,1
909.306,1,2,2,1
909.307,1,3,2,2
909.307,3,4,3,1
909.308,2,3,1,0
909.309,1,2,3,1
909.309,1,4,3,3
909.31,3,4,5,3
909.31,3,6,5,3
909.311,4,6,6,3
909.311,4,6,5,3
909.312,2,5,4,2
909.313,3,5,2,0
909.313,1,4,0,-1
909.314,-2,0,0,-1
909.314,0,0,2,1
909.315,2,3,2,2
909.315,3,3,2,2
909.316,4,2,1,2
909.317,3,0,0,2
909.317,2,0,0,3
909.318,4,0,0,4
909.318,4,0,0,4
909.319,3,0,0,5
909.319,5,0,2,8
909.32,9,5,5,8
909.321,8,6,5,7
909.321,8,6,4,7
909.322,10,8,2,2
909.322,4,3,0,0
909.323,0,0,-1,-1
909.324,0,0,-1,-1
909.324,0,-1,-2,-1
909.325,0,0,0,0
909.325,0,0,1,2
909.326,0,0,2,4
909.326,1,0,1,5
909.327,4,2,3,5
909.328,6,6,6,6
909.328,7,6,5,6
909.329,10,9,5,6
909.329,12,11,3,0
909.33,4,6,1,-2
909.33,0,5,3,-1
909.331,-1,2,2,-1
909.332,0,4,4,0
909.332,1,7,5,0
909.333,1,7,6,0
909.333,0,3,3,0
909.334,2,3,1,0
909.334,3,3,-2,-2
909.335,0,-1,-5,-2
909.336,1,-2,-3,0
909.336,3,2,1,3
909.337,4,3,2,4
909.337,3,0,2,4
909.338,4,0,2,5
909.339,4,2,3,5
909.339,4,1,2,7
909.34,6,0,1,7
909.34,8,3,3,8
909.341,8,4,3,5
909.341,7,4,3,4
909.342,3,2,3,3
909.342,2,0,1,2
909.343,2,1,1,3
909.344,2,1,0,2
909.344,3,3,2,2
909.345,3,4,3,2
909.345,3,3,2,0
909.346,0,1,0,0
909.346,0,0,0,0
909.347,1,1,0,0
909.348,3,4,2,3
909.348,5,4,2,2
909.349,5,5,2,2
909.349,4,6,3,2
909.35,4,6,5,3
909.35,4,7,7,3
909.351,2,5,6,3
909.352,0,4,5,1
909.352,-1,2,3,0
909.353,-1,1,2,0
909.353,0,1,2,1
909.354,0,3,2,1
909.354,2,2,1,3
909.355,9,9,4,3
909.356,10,10,1,-1
909.356,3,3,-1,-3
909.357,0,0,-1,-1
909.357,0,0,-1,0
909.358,2,0,0,1
909.359,1,-1,-1,2
909.359,3,-2,-2,5
909.36,8,1,0,7
909.36,11,7,5,7
909.361,8,4,3,5
909.361,4,3,4,5
909.362,5,3,4,5
909.363,4,3,2,2
909.363,2,1,0,0
909.364,0,0,0,1
909.364,0,0,1,2
909.365,2,-1,0,3
909.365,4,0,0,3
909.366,4,1,0,3
909.367,4,2,1,4
909.367,5,4,3,5
909.368,6,5,4,4
909.368,5,5,4,4
909.369,4,5,5,4
909.369,6,7,6,4
909.37,7,8,6,2
909.371,3,8,5,0
909.371,0,4,3,-1
909.372,-1,3,1,-4
909.372,-3,1,0,-3
909.373,-2,1,0,-2
909.373,0,2,1,0
909.374,0,3,1,1
909.375,4,4,2,1
909.375,3,3,1,0
909.376,2,1,1,3
909.376,3,1,0,3
909.377,4,1,1,4
909.378,5,1,0,4
909.378,4,0,0,4
909.379,5,1,0,5
909.379,5,1,2,6
909.38,5,4,6,6
909.38,4,4,5,6
909.381,2,2,5,4
909.382,1,3,6,5
909.382,1,1,4,3
909.383,0,-1,1,3
909.383,2,0,0,3
909.384,5,1,0,5
909.384,12,7,0,5
909.385,17,11,-1,1
909.385,12,7,-5,-4
909.386,3,2,-5,-4
909.387,2,2,-2,-2
909.387,3,5,0,-2
909.388,2,3,0,-2
909.388,0,0,0,0
909.389,0,3,4,3
909.39,1,4,4,2
909.39,1,3,5,2
909.391,2,7,8,5
909.391,4,9,8,5
909.392,4,9,10,4
909.392,2,6,7,0
909.393,-1,1,2,0
909.394,-3,0,0,0
909.394,0,0,0,0
909.395,1,1,1,2
909.395,2,1,1,2
909.396,2,1,0,3
909.396,3,0,0,4
909.397,5,1,0,5
909.398,6,3,2,5
909.398,5,0,0,4
909.399,4,-1,0,4
909.399,6,3,3,6
909.4,6,5,6,8
909.4,6,5,6,5
909.401,1,0,2,4
909.402,3,1,2,4
909.402,2,0,1,2
909.403,1,0,0,2
909.403,2,1,1,2
909.404,3,3,2,2
909.405,4,4,3,2
909.405,4,4,2,1
909.406,3,3,1,0
909.406,1,1,0,0
909.407,1,0,1,1
909.407,1,1,1,2
909.408,3,2,2,3
909.409,3,3,3,4
909.409,4,4,4,5
909.41,9,8,5,6
909.41,14,12,5,2
909.411,8,10,3,-2
909.411,0,3,0,-3
909.412,-2,1,0,-3
909.412,-1,2,1,-2
909.413,-2,1,2,0
909.414,0,3,3,0
909.414,2,4,4,2
909.415,2,3,3,3
909.415,6,6,4,3
909.416,6,5,1,0
909.417,0,0,-1,-1
909.417,0,-2,-1,1
909.418,1,-1,0,3
909.418,2,-1,0,4
909.419,4,0,2,6
909.419,7,5,6,8
909.42,8,9,9,8
909.421,6,7,8,4
909.421,2,2,4,2
909.422,2,3,3,2
909.422,2,3,2,0
909.423,0,1,0,0
909.423,1,1,0,0
909.424,3,2,-1,0
909.425,2,-1,-4,0
909.425,5,0,-3,1
909.426,6,1,-2,2
909.426,6,2,0,3
909.427,5,1,0,3
909.427,2,-1,-1,3
909.428,2,-1,0,5
909.429,5,2,4,8
909.429,8,7,7,7
909.43,7,8,8,4
909.43,5,10,9,3
909.431,1,9,9,2
909.431,0,7,8,0
909.432,0,3,3,0
909.433,0,3,1,-1
909.433,-1,1,0,-2
909.434,-1,0,0,0
909.434,0,1,1,1
909.435,5,6,2,0
909.436,2,3,0,0
909.436,1,0,0,0
909.437,1,-1,0,3
909.437,4,1,0,3
909.438,4,0,0,3
909.438,4,0,0,4
909.439,4,1,1,7
909.44,7,4,4,9
909.44,12,8,5,6
909.441,9,7,3,3
909.441,2,2,2,2
909.442,1,0,0,2
909.442,3,2,1,3
909.443,7,5,0,0
909.444,3,3,0,-1
909.444,1,2,1,0
909.445,0,2,2,1
909.445,0,0,0,0
909.446,-1,-2,0,0
909.446,0,0,0,3
909.447,3,3,2,5
909.448,8,4,0,6
909.448,10,3,-1,3
909.449,9,6,0,2
909.449,8,10,5,3
909.45,8,12,9,4
909.45,6,11,10,4
909.451,2,7,6,0
909.452,-1,4,3,-4
909.452,-5,1,2,-4
909.453,-5,2,2,-2
909.453,-4,0,2,0
909.454,-2,-2,-1,0
909.454,0,-2,-1,2
909.455,3,1,1,3
909.456,6,5,4,6
909.456,8,8,6,7
909.457,6,5,5,5
909.457,2,0,0,1
909.458,0,-3,-2,1
909.458,1,-1,0,5
909.459,5,1,2,7
909.46,8,6,5,8
909.46,7,3,3,5
909.461,4,1,0,3
909.461,3,1,2,4
909.462,4,2,2,4
909.462,4,3,2,3
909.463,4,4,2,3
909.464,4,3,1,2
909.464,4,3,1,1
909.465,3,2,0,1
909.465,4,2,0,0
909.466,3,1,-1,0
909.466,2,1,0,0
909.467,2,1,0,1
909.468,2,2,1,1
909.468,3,3,2,2
909.469,1,0,1,3
909.469,2,1,3,5
909.47,5,5,5,5
909.471,4,6,7,4
909.471,4,6,7,4
909.472,4,8,9,4
909.472,2,6,6,1
909.473,2,5,3,0
