Program Time [s],data 0,data 1,data 2,data 3
191.903,3,11,9,0
191.903,0,5,5,-2
191.904,-3,4,4,-3
191.904,-4,1,1,-3
191.905,-4,0,1,-1
191.905,-1,0,0,0
191.906,0,0,-1,1
191.906,2,1,0,2
191.907,4,2,1,4
191.908,4,0,0,4
191.908,3,-2,-1,7
191.909,7,-2,-3,7
191.909,10,0,-2,8
191.91,10,-1,-2,9
191.91,10,0,0,10
191.911,11,1,1,10
191.912,10,2,1,9
191.912,10,5,5,10
191.913,11,9,7,9
191.913,9,7,5,5
191.914,5,4,3,3
191.914,2,2,2,1
191.915,1,2,1,0
191.916,0,1,0,0
191.916,1,2,2,1
191.917,3,3,1,0
191.917,3,4,1,0
191.918,2,4,2,0
191.919,2,6,2,0
191.919,2,5,2,-1
191.92,0,3,1,-1
191.92,0,2,1,-1
191.921,0,4,3,0
191.921,1,8,6,0
191.922,2,11,9,0
191.923,0,9,7,0
191.923,-1,6,5,-2
191.924,-2,5,4,-3
191.924,-3,1,0,-5
191.925,-4,0,0,-3
191.925,-3,0,0,-2
191.926,0,0,0,0
191.927,1,0,0,3
191.927,3,0,0,4
191.928,2,-3,-1,5
191.928,4,-3,-1,7
191.929,6,-4,-1,10
191.929,11,0,1,11
191.93,13,1,0,12
191.931,13,3,1,11
191.931,14,5,3,10
191.932,12,5,4,9
191.932,12,8,7,8
191.933,8,5,4,5
191.933,4,1,0,2
191.934,2,0,0,1
191.935,0,0,1,1
191.935,1,3,2,2
191.936,2,4,4,2
191.936,2,5,4,1
191.937,3,6,4,0
191.937,2,4,2,-1
191.938,0,3,2,0
191.939,1,4,1,-2
191.939,-1,2,2,-1
191.94,-1,2,2,-1
191.94,0,2,2,0
191.941,1,4,3,0
191.941,2,7,7,0
191.942,2,10,8,1
191.943,2,9,7,1
191.943,6,11,5,-1
191.944,4,9,1,-7
191.944,-2,2,-3,-8
191.945,-6,-1,-3,-7
191.946,-6,-4,-3,-4
191.946,-4,-3,-1,0
191.947,0,-1,0,2
191.947,1,-2,0,4
191.948,1,-4,0,9
191.948,5,-3,1,12
191.949,9,0,3,13
191.949,11,2,3,12
191.95,10,0,2,13
191.951,13,3,3,13
191.951,13,5,4,13
191.952,16,7,2,10
191.952,16,9,1,4
191.953,8,5,0,1
191.953,3,2,0,0
191.954,1,1,0,0
191.955,0,0,0,-1
191.955,-1,0,1,0
191.956,-1,1,3,1
191.956,1,4,5,2
191.957,2,5,4,2
191.958,1,4,3,1
191.958,1,5,3,0
191.959,1,4,4,1
191.959,2,6,4,0
191.96,1,5,3,1
191.96,2,4,2,0
191.961,2,6,3,0
191.962,4,12,8,0
191.962,2,11,7,-2
191.963,0,5,1,-6
191.963,-3,2,1,-5
191.964,-4,2,1,-4
191.964,-4,0,0,-2
191.965,-3,0,0,-1
191.966,-2,-1,-1,0
191.966,0,0,0,2
191.967,1,0,0,4
191.967,4,0,1,8
191.968,9,0,0,8
191.968,9,0,-1,7
191.969,7,-3,-3,7
191.97,7,-2,-1,9
191.97,10,0,1,11
191.971,11,3,3,12
191.971,13,4,3,11
191.972,13,5,4,10
191.972,11,6,4,6
191.973,7,4,2,4
191.974,5,4,1,3
191.974,5,5,3,1
191.975,3,5,2,0
191.975,2,4,2,-2
191.976,-1,1,1,-1
191.976,-2,0,0,0
191.977,-1,-1,0,0
191.978,0,4,4,2
191.978,4,11,9,2
191.979,3,9,6,0
191.979,0,2,3,0
191.98,0,0,0,-1
191.98,0,0,0,-1
191.981,1,3,2,0
191.982,3,11,8,2
191.982,3,11,10,2
191.983,1,9,7,-1
191.983,0,5,4,-3
191.984,-3,0,0,-5
191.985,-5,-1,0,-3
191.985,-3,0,0,-1
191.986,0,0,0,1
191.986,3,2,0,2
191.987,3,3,1,2
191.988,2,0,-2,2
191.988,2,-4,-3,4
191.989,4,-4,-3,7
191.989,7,-4,-2,10
191.99,11,0,0,10
191.99,12,3,3,12
191.991,12,3,5,12
191.991,12,5,5,11
191.992,11,7,6,9
191.993,8,6,5,6
191.993,6,4,3,3
191.994,4,4,3,4
191.994,5,5,3,4
191.995,7,7,1,0
191.995,3,4,0,-4
191.996,-4,-1,-1,-2
191.997,-4,0,1,0
191.997,-2,0,2,0
191.998,0,2,2,3
191.998,5,7,4,3
191.999,10,12,5,2
191.999,8,10,3,0
192,7,9,2,-3
192.001,1,6,1,-4
192.001,0,6,0,-6
192.002,-1,6,2,-5
192.002,-2,5,3,-4
192.003,-2,4,3,-4
