Program Time [s],data 0,data 1,data 2,data 3
177.444,17,10,2,5
177.445,8,4,0,0
177.446,0,0,-2,-1
177.446,0,0,0,0
177.447,0,1,1,0
177.447,1,1,2,1
177.448,3,4,2,1
177.448,2,5,3,0
177.449,2,4,2,0
177.449,2,5,3,-1
177.45,0,5,2,-2
177.451,-1,3,2,-3
177.451,-3,1,2,-1
177.452,-1,1,2,0
177.452,-1,2,3,0
177.453,-1,4,7,2
177.454,3,11,12,5
177.454,5,12,11,2
177.455,3,9,7,0
177.455,2,11,6,-3
177.456,0,6,2,-4
177.456,0,5,0,-4
177.457,1,4,-3,-8
177.458,-4,-4,-7,-8
177.458,-6,-5,-6,-4
177.459,-3,-4,-2,0
177.459,0,-4,0,5
177.46,3,-3,-1,8
177.46,6,-3,0,11
177.461,10,0,2,13
177.462,10,-1,1,13
177.462,11,0,2,15
177.463,13,2,5,14
177.463,14,6,6,14
177.464,15,9,8,13
177.464,13,6,3,7
177.465,8,3,0,4
177.466,7,4,0,4
177.466,10,8,0,1
177.467,7,6,0,-2
177.467,2,3,-1,-3
177.468,0,0,-2,-4
177.469,-1,1,0,-2
177.469,-1,1,0,-2
177.47,0,3,3,0
177.47,0,4,4,1
177.471,1,6,5,1
177.471,1,5,4,0
177.472,1,6,4,0
177.472,0,7,6,0
177.473,0,8,7,0
177.474,1,11,10,0
177.474,0,9,8,-2
177.475,-2,5,4,-4
177.475,-3,4,3,-4
177.476,-4,1,0,-4
177.476,-5,-1,-1,-4
177.477,-2,-1,-1,-2
177.478,0,0,0,0
177.478,2,0,0,3
177.479,4,1,1,5
177.479,4,-1,0,7
177.48,5,-2,-2,7
177.481,6,-2,-1,7
177.481,7,-2,0,9
177.482,7,-2,0,11
177.482,11,0,1,12
177.483,13,3,3,13
177.483,12,2,3,10
177.484,10,4,4,9
177.485,9,6,6,8
177.485,8,5,5,8
177.486,9,7,3,3
177.486,7,6,2,0
177.487,3,4,1,0
177.487,0,1,0,-2
177.488,0,1,0,-2
177.489,-1,0,0,-2
177.489,0,1,0,-1
177.49,0,2,2,0
177.49,1,5,4,1
177.491,1,5,4,0
177.491,0,4,4,0
177.492,0,3,2,0
177.493,0,3,4,0
177.493,1,7,9,1
177.494,2,11,11,0
177.494,0,9,9,0
177.495,-1,7,6,-2
177.495,-3,5,4,-4
177.496,-3,2,0,-4
177.497,0,2,-1,-1
177.497,6,5,-4,-3
177.498,5,3,-6,-5
177.498,0,-1,-5,-3
177.499,0,-2,-3,0
177.499,0,-4,-4,1
177.5,1,-5,-3,5
177.501,3,-4,0,10
177.501,11,2,3,15
177.502,15,3,1,12
177.502,13,2,1,11
177.503,12,3,3,13
177.503,13,4,4,11
177.504,13,8,5,9
177.505,9,4,3,5
177.505,3,1,1,3
177.506,0,0,2,3
177.506,2,1,3,3
177.507,2,3,4,4
177.507,3,3,3,5
177.508,8,8,3,2
177.509,9,9,2,-1
177.509,2,4,1,-3
177.51,-2,3,1,-4
177.51,-4,2,1,-4
177.511,-5,0,2,-2
177.511,-3,1,1,0
177.512,0,3,3,1
177.513,3,7,4,1
177.513,5,12,7,1
177.514,4,12,8,-1
177.514,1,10,7,-3
177.515,-2,7,6,-3
177.516,-5,3,2,-5
177.516,-8,-1,0,-5
177.517,-7,-3,-1,-2
177.517,-3,-1,0,1
177.518,1,0,1,4
177.518,4,2,1,4
177.519,5,1,0,4
177.52,4,-2,-1,5
177.52,5,-3,-3,8
177.521,8,-2,-2,9
177.521,10,-1,-1,10
177.522,9,-2,-2,10
177.522,11,0,0,11
177.523,12,2,3,13
177.524,14,7,6,13
177.524,14,9,6,9
177.525,10,7,4,6
177.525,7,5,2,2
177.526,3,3,1,1
177.526,2,2,0,0
177.527,1,3,1,0
177.528,1,3,1,-1
177.528,0,2,0,-1
177.529,-1,0,0,0
177.529,0,-1,-2,0
177.53,4,5,4,2
177.53,6,12,8,2
177.531,4,9,6,0
177.532,2,7,4,-3
177.532,-3,1,2,-4
177.533,-7,-2,0,-2
177.533,0,8,9,0
177.534,0,9,10,1
177.535,-1,4,7,0
177.535,0,8,8,0
177.536,0,5,3,-2
177.536,-3,0,0,-4
177.537,-2,0,-2,-1
177.537,1,2,0,1
177.538,5,5,1,0
177.538,3,2,0,0
177.539,0,-2,-4,0
177.54,0,-5,-4,4
177.54,3,-4,-4,5
177.541,5,-6,-6,7
177.541,9,-3,-3,11
177.542,13,2,0,14
177.543,16,6,4,16
