Program Time [s],data 0,data 1,data 2,data 3
933.842,4,4,4,3
933.843,5,7,5,3
933.843,4,5,4,2
933.844,3,5,4,2
933.844,3,7,5,2
933.845,5,7,4,0
933.846,1,6,4,-2
933.846,0,3,2,-2
933.847,-2,0,0,-1
933.847,0,0,-1,0
933.848,1,0,0,2
933.848,3,0,0,3
933.849,4,2,2,5
933.85,4,1,0,5
933.85,6,2,1,5
933.851,7,3,0,4
933.851,6,3,2,4
933.852,5,2,2,4
933.852,5,1,1,4
933.853,4,0,1,4
933.854,4,2,1,3
933.854,4,3,2,4
933.855,4,3,3,2
933.855,3,3,4,2
933.856,1,1,2,2
933.856,2,2,2,2
933.857,2,3,4,3
933.858,2,2,3,2
933.858,1,1,1,1
933.859,0,0,0,1
933.859,1,0,0,1
933.86,2,1,0,2
933.86,4,3,1,3
933.861,5,4,2,3
933.862,4,4,1,2
933.862,6,6,1,3
933.863,6,7,3,2
933.863,4,5,3,2
933.864,4,7,5,2
933.864,4,8,6,1
933.865,1,6,3,0
933.866,0,3,2,0
933.866,2,3,1,-1
933.867,1,2,0,-1
933.867,0,0,0,0
933.868,2,2,0,1
933.868,2,3,2,2
933.869,4,6,4,2
933.87,2,2,2,3
933.87,2,0,0,2
933.871,3,0,0,3
933.871,3,0,1,5
933.872,5,2,1,5
933.872,6,2,2,5
933.873,7,5,5,6
933.874,6,5,3,4
933.874,3,3,3,2
933.875,1,0,1,2
933.875,2,2,2,2
933.876,3,2,2,2
933.876,2,0,1,4
933.877,3,0,0,2
933.878,4,4,2,4
933.878,7,7,2,2
933.879,8,7,1,0
933.879,4,3,-1,-2
933.88,0,1,0,-2
933.88,-1,0,0,-1
933.881,-1,0,1,0
933.882,0,0,1,2
933.882,1,1,3,4
933.883,4,2,4,6
933.883,6,4,4,5
933.884,6,5,5,6
933.885,5,7,7,5
933.885,6,8,8,5
933.886,5,8,9,4
933.886,4,6,5,1
933.887,1,3,0,-2
933.887,0,0,-1,-2
